"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","25.98","25.53","25.98","25.53","-","1.03%"
"Sep 29, 2020","25.71","25.96","25.96","25.71","-","-0.94%"
"Sep 28, 2020","25.95","25.67","25.95","25.67","0.05K","2.21%"
"Sep 25, 2020","25.40","25.18","25.40","25.01","-","0.97%"
"Sep 24, 2020","25.15","24.99","25.15","24.99","-","-1.28%"
"Sep 23, 2020","25.48","25.58","25.64","25.48","-","0.73%"
"Sep 22, 2020","25.29","25.18","25.29","25.18","-","1.57%"
"Sep 21, 2020","24.90","25.33","25.33","24.90","0.12K","-1.83%"
"Sep 18, 2020","25.36","25.55","25.63","25.36","-","-1.09%"
"Sep 17, 2020","25.65","25.54","25.65","25.54","-","-1.61%"
"Sep 16, 2020","26.07","25.97","26.07","25.97","-","0.23%"
"Sep 15, 2020","26.00","25.73","26.00","25.73","-","0.95%"
"Sep 14, 2020","25.76","25.70","25.76","25.58","-","1.08%"
"Sep 11, 2020","25.49","25.60","25.60","25.49","0.00K","-1.22%"
"Sep 10, 2020","25.80","25.88","25.88","25.73","0.15K","-0.33%"
"Sep 09, 2020","25.89","25.51","25.89","25.51","0.02K","1.09%"
"Sep 08, 2020","25.60","26.22","26.22","25.60","0.05K","-2.12%"
"Sep 07, 2020","26.16","25.90","26.16","25.90","-","1.55%"
"Sep 04, 2020","25.76","26.17","26.30","25.76","0.24K","-2.65%"
"Sep 03, 2020","26.46","27.33","27.33","26.46","-","-2.02%"
"Sep 02, 2020","27.00","26.87","27.04","26.87","0.00K","1.77%"
"Sep 01, 2020","26.53","26.48","26.53","26.47","-","0.42%"
"Aug 31, 2020","26.42","26.66","26.66","26.42","-","-0.15%"
"Aug 28, 2020","26.47","26.59","26.59","26.47","-","-0.84%"
"Aug 27, 2020","26.69","26.49","26.69","26.49","-","1.27%"
"Aug 26, 2020","26.35","26.25","26.37","26.25","0.10K","0.82%"
"Aug 25, 2020","26.14","26.30","26.30","26.14","0.21K","0.19%"
"Aug 24, 2020","26.09","26.05","26.09","26.05","-","0.75%"
"Aug 21, 2020","25.90","25.73","25.90","25.73","-","0.88%"
"Aug 20, 2020","25.67","25.54","25.67","25.54","-","-0.12%"
"Aug 19, 2020","25.70","25.58","25.70","25.58","-","0.53%"
"Aug 18, 2020","25.57","25.58","25.65","25.57","-","-0.31%"
"Aug 17, 2020","25.65","25.59","25.65","25.59","-","-0.04%"
