"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","38.08","37.92","38.25","37.87","13.96K","-1.02%"
"Sep 29, 2020","38.48","38.70","38.73","38.45","24.43K","-0.46%"
"Sep 28, 2020","38.65","38.64","38.65","38.47","7.10K","1.49%"
"Sep 25, 2020","38.09","38.08","38.09","37.90","24.84K","0.07%"
"Sep 24, 2020","38.06","38.02","38.12","37.93","132.56K","-0.43%"
"Sep 23, 2020","38.23","38.29","38.43","38.23","45.33K","1.77%"
"Sep 22, 2020","37.56","37.47","37.63","37.46","14.27K","0.61%"
"Sep 21, 2020","37.34","37.78","37.78","37.31","40.42K","-1.52%"
"Sep 18, 2020","37.91","37.94","38.16","37.90","33.15K","-0.22%"
"Sep 17, 2020","38.00","37.95","38.05","37.87","12.40K","-0.07%"
"Sep 16, 2020","38.03","37.75","38.04","37.75","7.55K","0.80%"
"Sep 15, 2020","37.73","37.52","37.74","37.46","9.15K","0.46%"
"Sep 14, 2020","37.56","37.67","37.70","37.49","14.15K","0.54%"
"Sep 11, 2020","37.35","37.24","37.40","37.17","14.39K","1.32%"
"Sep 10, 2020","36.87","37.15","37.18","36.84","23.57K","0.04%"
"Sep 09, 2020","36.85","36.87","37.02","36.77","10.90K","0.18%"
"Sep 08, 2020","36.78","36.95","36.99","36.64","98.62K","-0.24%"
"Sep 07, 2020","36.87","36.73","36.91","36.68","15.58K","0.35%"
"Sep 04, 2020","36.74","36.76","37.02","36.59","28.57K","-0.09%"
"Sep 03, 2020","36.78","37.43","37.49","36.66","49.45K","-1.15%"
"Sep 02, 2020","37.21","36.96","37.24","36.93","11.03K","1.81%"
"Sep 01, 2020","36.54","36.64","36.69","36.23","31.50K","0.19%"
"Aug 31, 2020","36.48","36.95","36.95","36.48","19.41K","-0.54%"
"Aug 28, 2020","36.67","36.48","36.72","36.31","13.78K","-0.73%"
"Aug 27, 2020","36.94","36.96","37.06","36.82","7.48K","-0.59%"
"Aug 26, 2020","37.16","36.97","37.16","36.96","10.93K","0.41%"
"Aug 25, 2020","37.01","37.29","37.29","37.00","9.82K","-0.22%"
"Aug 24, 2020","37.09","37.04","37.09","36.99","9.53K","1.04%"
"Aug 21, 2020","36.71","36.67","36.83","36.61","31.56K","0.22%"
"Aug 20, 2020","36.63","36.53","36.72","36.47","67.29K","-0.75%"
"Aug 19, 2020","36.90","36.72","36.90","36.69","6.85K","0.51%"
"Aug 18, 2020","36.72","36.78","36.89","36.63","39.82K","-0.22%"
"Aug 17, 2020","36.80","36.66","36.80","36.53","7.69K","0.02%"
"Aug 14, 2020","36.79","36.82","36.90","36.62","6.90K","-0.03%"
"Aug 13, 2020","36.80","36.89","36.97","36.74","76.56K","-0.55%"
"Aug 12, 2020","37.01","36.89","37.04","36.84","38.83K","1.52%"
"Aug 11, 2020","36.45","36.46","36.76","36.45","41.27K","1.61%"
"Aug 10, 2020","35.88","35.88","35.91","35.78","17.49K","0.51%"
"Aug 07, 2020","35.69","35.55","35.71","35.50","31.41K","0.42%"
"Aug 06, 2020","35.55","35.59","35.69","35.47","57.43K","-0.37%"
"Aug 05, 2020","35.68","35.87","35.91","35.67","44.76K","-0.26%"
"Aug 04, 2020","35.77","35.91","35.91","35.58","83.34K","0.95%"
"Aug 03, 2020","35.43","35.07","35.46","34.98","11.94K","2.21%"
"Jul 31, 2020","34.67","34.76","34.95","34.53","81.65K","-2.17%"
"Jul 30, 2020","35.44","35.66","35.66","35.19","59.36K","-1.78%"
"Jul 29, 2020","36.08","36.12","36.19","36.05","28.07K","-1.02%"
"Jul 28, 2020","36.45","36.33","36.47","36.31","7.10K","0.00%"
"Jul 27, 2020","36.45","36.62","36.76","36.45","155.87K","0.75%"
"Jul 24, 2020","36.17","36.09","36.29","36.03","4.01K","-0.62%"
"Jul 23, 2020","36.40","36.51","36.63","36.35","21.29K","-0.12%"
"Jul 22, 2020","36.44","36.64","36.64","36.35","31.73K","-1.12%"
"Jul 21, 2020","36.86","36.90","37.04","36.86","9.65K","-0.16%"
"Jul 20, 2020","36.92","36.67","36.96","36.67","52.24K","0.13%"
"Jul 17, 2020","36.87","36.98","36.98","36.84","22.81K","-0.29%"
"Jul 16, 2020","36.98","37.03","37.06","36.92","50.07K","-1.22%"
"Jul 15, 2020","37.44","37.28","37.56","37.19","37.72K","1.63%"
"Jul 14, 2020","36.83","36.97","36.97","36.65","24.48K","-0.86%"
"Jul 13, 2020","37.15","37.25","37.29","37.04","54.28K","0.64%"
"Jul 10, 2020","36.92","36.72","36.92","36.72","27.89K","1.19%"
"Jul 09, 2020","36.48","36.71","36.72","36.42","67.47K","-0.36%"
"Jul 08, 2020","36.62","36.84","36.88","36.53","54.89K","-1.16%"
"Jul 07, 2020","37.05","37.10","37.17","36.98","13.95K","-0.37%"
"Jul 06, 2020","37.18","37.14","37.30","37.07","13.21K","1.37%"
"Jul 03, 2020","36.68","37.00","37.00","36.64","17.74K","-0.97%"
"Jul 02, 2020","37.04","36.67","37.04","36.66","4.60K","1.36%"
"Jul 01, 2020","36.54","36.62","36.74","36.49","102.91K","-1.29%"
"Jun 30, 2020","37.02","37.03","37.08","36.88","18.42K","-0.46%"
"Jun 29, 2020","37.19","37.02","37.19","36.89","42.15K","-0.33%"
"Jun 26, 2020","37.32","37.59","37.73","37.27","41.48K","-0.07%"
