"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","29.44","29.15","29.52","28.88","5.73K","2.24%"
"Sep 29, 2020","28.80","28.77","28.82","28.75","1.59K","-0.43%"
"Sep 28, 2020","28.92","28.99","28.99","28.78","0.69K","1.58%"
"Sep 25, 2020","28.47","28.63","28.63","28.31","1.24K","-0.94%"
"Sep 24, 2020","28.74","28.85","28.85","28.56","4.48K","-1.27%"
"Sep 23, 2020","29.11","29.06","29.35","29.06","4.06K","0.45%"
"Sep 22, 2020","28.98","29.01","29.10","28.85","0.22K","0.00%"
"Sep 21, 2020","28.98","29.21","29.21","28.75","2.39K","-0.82%"
"Sep 18, 2020","29.22","29.42","29.59","29.22","5.83K","-0.29%"
"Sep 17, 2020","29.30","29.51","29.51","29.30","1.44K","-1.20%"
"Sep 16, 2020","29.66","29.58","29.66","29.50","5.31K","0.37%"
"Sep 15, 2020","29.55","29.52","29.60","29.36","6.88K","1.49%"
"Sep 14, 2020","29.11","29.44","29.44","29.04","5.23K","0.83%"
"Sep 11, 2020","28.87","28.80","29.00","28.80","7.26K","0.38%"
"Sep 10, 2020","28.76","29.11","29.50","28.74","1.00K","-0.91%"
"Sep 09, 2020","29.02","28.88","29.09","28.86","3.11K","0.16%"
"Sep 08, 2020","28.98","29.13","29.20","28.88","34.97K","-0.99%"
"Sep 07, 2020","29.27","29.22","29.33","29.07","10.93K","0.39%"
"Sep 04, 2020","29.16","29.50","29.65","29.12","2.01K","-1.00%"
"Sep 03, 2020","29.45","30.44","30.44","29.30","2.70K","-2.66%"
"Sep 02, 2020","30.25","30.16","30.55","30.16","1.60K","1.15%"
"Sep 01, 2020","29.91","29.84","30.06","29.70","3.55K","1.87%"
"Aug 31, 2020","29.36","30.00","30.00","29.36","2.25K","-2.44%"
"Aug 28, 2020","30.09","30.24","30.24","29.96","0.93K","-0.02%"
"Aug 27, 2020","30.10","30.33","30.33","30.09","2.99K","-0.45%"
"Aug 26, 2020","30.24","30.27","30.30","30.10","4.33K","0.75%"
"Aug 25, 2020","30.01","29.83","30.01","29.70","3.24K","1.32%"
"Aug 24, 2020","29.62","29.77","29.77","29.62","3.19K","1.25%"
"Aug 21, 2020","29.25","28.97","29.35","28.95","1.54K","2.20%"
"Aug 20, 2020","28.63","28.83","28.83","28.63","1.55K","-0.71%"
"Aug 19, 2020","28.83","28.85","28.90","28.74","2.12K","-0.07%"
"Aug 18, 2020","28.85","28.96","29.02","28.70","2.79K","0.14%"
"Aug 17, 2020","28.81","28.83","28.83","28.58","2.48K","1.14%"
"Aug 14, 2020","28.49","28.67","28.67","28.48","1.65K","0.00%"
"Aug 13, 2020","28.49","28.56","28.60","28.43","0.15K","-1.01%"
"Aug 12, 2020","28.77","28.74","28.77","28.55","1.87K","0.33%"
"Aug 11, 2020","28.68","28.73","28.74","28.63","13.19K","0.46%"
"Aug 10, 2020","28.55","28.60","28.60","28.32","1.20K","-0.66%"
"Aug 07, 2020","28.74","28.60","28.83","28.59","1.79K","-1.12%"
"Aug 06, 2020","29.07","29.13","29.18","29.07","2.09K","-0.56%"
"Aug 05, 2020","29.23","29.33","29.33","29.11","0.76K","0.45%"
"Aug 04, 2020","29.10","29.43","29.43","29.09","0.70K","0.71%"
"Aug 03, 2020","28.90","28.73","29.02","28.54","3.83K","3.07%"
"Jul 31, 2020","28.03","28.17","28.19","28.03","1.99K","-0.25%"
"Jul 30, 2020","28.10","28.36","28.36","28.05","0.44K","-1.18%"
"Jul 29, 2020","28.44","28.45","28.55","28.37","5.04K","0.49%"
"Jul 28, 2020","28.30","28.33","28.42","28.25","3.09K","1.29%"
"Jul 27, 2020","27.94","28.17","28.17","27.88","2.65K","-1.01%"
"Jul 24, 2020","28.23","28.20","28.28","28.07","2.03K","-3.29%"
"Jul 23, 2020","29.18","29.04","29.25","29.04","0.43K","0.60%"
"Jul 22, 2020","29.01","29.69","29.69","28.96","3.79K","-2.78%"
"Jul 21, 2020","29.84","30.09","30.33","29.84","19.34K","1.02%"
"Jul 20, 2020","29.54","29.14","29.54","29.03","3.41K","1.91%"
"Jul 17, 2020","28.99","28.99","29.04","28.95","1.59K","0.76%"
"Jul 16, 2020","28.76","28.75","28.80","28.43","4.41K","-3.36%"
"Jul 15, 2020","29.76","29.85","29.85","29.71","1.48K","0.24%"
"Jul 14, 2020","29.69","29.89","29.89","29.39","3.05K","-3.68%"
"Jul 13, 2020","30.83","30.79","30.84","30.70","4.57K","1.07%"
"Jul 10, 2020","30.50","30.88","30.88","30.50","1.86K","-0.72%"
"Jul 09, 2020","30.73","31.22","31.25","30.65","8.02K","1.50%"
"Jul 08, 2020","30.27","30.19","30.42","30.10","1.27K","1.99%"
"Jul 07, 2020","29.68","30.44","30.44","29.41","2.69K","-0.92%"
"Jul 06, 2020","29.95","29.76","29.95","29.57","5.53K","4.52%"
"Jul 03, 2020","28.66","28.93","28.93","28.66","2.38K","1.92%"
"Jul 02, 2020","28.12","27.92","28.15","27.83","1.72K","3.02%"
"Jul 01, 2020","27.30","27.43","27.48","27.30","2.68K","0.65%"
"Jun 30, 2020","27.12","26.99","27.23","26.99","1.06K","0.31%"
"Jun 29, 2020","27.03","26.95","27.10","26.94","3.32K","-0.46%"
"Jun 26, 2020","27.16","27.41","27.48","27.16","2.15K","-0.35%"
"Jun 25, 2020","27.25","27.27","27.36","27.19","0.11K","0.22%"
"Jun 24, 2020","27.19","27.59","27.59","27.19","2.74K","-1.07%"
"Jun 23, 2020","27.49","27.49","27.60","27.49","1.91K","1.22%"
"Jun 22, 2020","27.16","27.42","27.42","27.13","3.73K","-0.69%"
"Jun 19, 2020","27.35","27.55","27.55","27.35","1.17K","1.17%"
"Jun 18, 2020","27.03","26.92","27.22","26.92","3.72K","0.63%"
"Jun 17, 2020","26.86","26.67","26.97","26.67","0.62K","1.02%"
"Jun 16, 2020","26.59","26.38","26.92","26.38","1.38K","1.97%"
"Jun 15, 2020","26.08","26.01","26.08","25.75","5.86K","-0.70%"
"Jun 12, 2020","26.26","26.11","26.35","26.11","1.14K","1.17%"
"Jun 11, 2020","25.96","26.48","26.48","25.96","1.51K","-2.02%"
"Jun 10, 2020","26.50","26.67","26.67","26.40","3.32K","0.70%"
"Jun 09, 2020","26.31","27.05","27.05","26.30","17.15K","-0.85%"
"Jun 08, 2020","26.53","26.68","26.75","26.30","5.94K","-1.27%"
"Jun 05, 2020","26.88","26.51","26.99","26.36","9.37K","2.11%"
"Jun 04, 2020","26.32","26.47","26.61","26.32","1.13K","-1.75%"
"Jun 03, 2020","26.79","26.54","26.84","26.34","6.07K","1.67%"
"Jun 02, 2020","26.35","26.09","26.35","26.05","4.96K","5.21%"
"May 29, 2020","25.05","24.95","25.25","24.95","4.66K","-0.93%"
"May 28, 2020","25.28","25.56","25.56","25.25","0.88K","-0.53%"
"May 27, 2020","25.42","25.60","25.72","25.20","6.22K","-1.74%"
"May 26, 2020","25.86","26.19","26.19","25.74","0.92K","0.76%"
"May 25, 2020","25.67","25.52","26.10","25.50","6.03K","0.79%"
"May 22, 2020","25.47","25.39","25.75","25.39","1.31K","-2.04%"
"May 21, 2020","26.00","26.51","26.51","26.00","1.26K","-3.18%"
"May 20, 2020","26.85","26.56","26.85","26.56","3.55K","0.52%"
"May 19, 2020","26.72","26.49","26.72","26.37","0.82K","0.47%"
"May 18, 2020","26.59","26.07","26.77","26.07","0.26K","3.73%"
"May 15, 2020","25.64","26.16","26.50","25.52","4.45K","-0.83%"
"May 14, 2020","25.85","25.83","25.95","25.60","3.26K","-1.09%"
"May 13, 2020","26.14","26.10","26.17","26.10","0.09K","-0.15%"
"May 12, 2020","26.17","26.17","26.20","26.07","11.94K","0.33%"
"May 11, 2020","26.09","26.31","26.44","26.00","2.14K","-0.13%"
"May 08, 2020","26.13","25.95","26.13","25.95","0.45K","1.87%"
"May 07, 2020","25.65","25.63","25.78","25.63","1.05K","0.37%"
"May 06, 2020","25.55","25.77","25.84","25.55","40.33K","1.39%"
"May 05, 2020","25.20","24.91","25.20","24.91","5.25K","2.44%"
"May 04, 2020","24.60","25.30","25.30","24.50","3.96K","-4.45%"
"Apr 30, 2020","25.75","26.47","26.50","25.75","0.62K","-1.76%"
"Apr 29, 2020","26.20","26.25","26.25","25.96","1.13K","1.02%"
"Apr 28, 2020","25.94","26.19","26.19","25.94","4.80K","0.58%"
"Apr 27, 2020","25.79","25.42","25.83","25.42","0.07K","1.48%"
"Apr 24, 2020","25.42","25.51","25.59","25.42","-","-1.13%"
"Apr 23, 2020","25.70","25.73","25.76","25.70","0.04K","0.37%"
"Apr 22, 2020","25.61","25.64","25.64","24.97","2.09K","2.54%"
"Apr 21, 2020","24.98","25.70","25.70","24.98","0.23K","-3.20%"
"Apr 20, 2020","25.80","25.91","25.91","25.58","0.86K","1.36%"
"Apr 17, 2020","25.45","26.00","26.03","25.45","0.90K","0.00%"
"Apr 16, 2020","25.45","25.87","25.87","25.27","0.66K","2.19%"
"Apr 15, 2020","24.91","25.58","25.58","24.81","5.31K","-0.90%"
"Apr 14, 2020","25.14","25.60","25.60","25.11","5.48K","1.15%"
"Apr 09, 2020","24.85","24.39","24.99","24.39","0.96K","-0.38%"
"Apr 08, 2020","24.94","24.72","24.94","24.68","0.02K","-0.32%"
"Apr 07, 2020","25.02","24.95","25.40","24.83","1.83K","0.89%"
"Apr 06, 2020","24.81","24.76","24.90","24.64","1.44K","2.99%"
"Apr 03, 2020","24.08","24.10","24.33","24.08","0.20K","-0.41%"
"Apr 02, 2020","24.18","24.29","24.29","24.00","0.37K","0.79%"
"Apr 01, 2020","24.00","24.11","24.11","23.72","1.21K","-0.93%"
"Mar 31, 2020","24.22","23.80","24.30","23.80","3.21K","2.13%"
"Mar 30, 2020","23.72","23.78","23.78","23.44","0.33K","1.52%"
"Mar 27, 2020","23.36","24.33","24.33","23.36","1.12K","-3.93%"
"Mar 26, 2020","24.32","23.83","24.32","23.70","1.46K","0.10%"
"Mar 25, 2020","24.29","24.26","24.34","23.96","2.49K","1.27%"
"Mar 24, 2020","23.99","23.20","23.99","23.20","-","6.67%"
"Mar 23, 2020","22.49","24.00","24.00","21.80","1.88K","-3.44%"
"Mar 20, 2020","23.28","23.92","23.92","23.28","0.45K","2.55%"
"Mar 19, 2020","22.70","21.76","22.95","21.76","0.28K","1.57%"
"Mar 18, 2020","22.35","22.30","22.35","21.80","1.93K","-2.89%"
"Mar 17, 2020","23.02","22.94","23.47","22.21","2.12K","2.27%"
"Mar 16, 2020","22.51","23.56","23.80","21.70","3.94K","-4.46%"
"Mar 13, 2020","23.56","24.09","24.68","23.56","2.49K","3.36%"
"Mar 12, 2020","22.80","23.88","23.88","22.00","0.83K","-7.24%"
"Mar 11, 2020","24.58","24.69","24.69","24.50","0.28K","-0.12%"
"Mar 10, 2020","24.60","24.72","25.15","24.60","1.99K","2.67%"
"Mar 09, 2020","23.97","24.25","24.25","23.00","0.84K","-4.94%"
"Mar 06, 2020","25.21","25.83","25.83","25.21","0.38K","-4.29%"
"Mar 05, 2020","26.34","26.60","26.60","26.26","0.38K","0.63%"
"Mar 04, 2020","26.17","26.00","26.22","26.00","0.42K","1.41%"
"Mar 03, 2020","25.81","26.16","26.16","25.80","3.91K","0.43%"
"Mar 02, 2020","25.70","26.06","26.23","25.32","0.88K","1.32%"
"Feb 28, 2020","25.36","25.30","25.55","25.00","5.93K","-2.42%"
"Feb 27, 2020","26.00","26.43","26.43","25.93","2.39K","-2.42%"
"Feb 26, 2020","26.64","26.27","26.66","26.27","0.58K","1.12%"
"Feb 25, 2020","26.34","27.00","27.00","26.22","0.66K","0.25%"
"Feb 24, 2020","26.28","27.21","27.21","26.10","2.44K","-3.42%"
"Feb 21, 2020","27.21","27.39","27.40","27.21","1.17K","-0.42%"
"Feb 20, 2020","27.33","27.79","27.79","27.33","0.55K","-1.25%"
"Feb 19, 2020","27.67","27.64","27.67","27.57","0.44K","1.00%"
"Feb 18, 2020","27.40","27.41","27.48","27.40","3.13K","-1.26%"
"Feb 17, 2020","27.75","27.81","27.81","27.67","1.38K","1.35%"
"Feb 14, 2020","27.38","27.53","27.53","27.38","0.57K","-0.07%"
"Feb 13, 2020","27.40","27.55","27.55","27.17","1.01K","-0.47%"
"Feb 12, 2020","27.52","27.44","27.52","27.30","2.82K","1.59%"
"Feb 11, 2020","27.09","27.00","27.09","26.98","0.71K","2.07%"
"Feb 10, 2020","26.55","26.75","26.75","26.48","0.06K","0.84%"
"Feb 07, 2020","26.33","26.67","26.67","26.30","1.36K","-0.88%"
"Feb 06, 2020","26.56","26.86","26.86","26.56","5.49K","0.80%"
"Feb 05, 2020","26.35","26.23","26.73","26.10","1.15K","0.13%"
"Feb 04, 2020","26.32","25.79","26.32","25.79","0.52K","4.53%"
"Feb 03, 2020","25.17","25.11","25.32","24.94","5.29K","1.90%"
"Jan 31, 2020","24.70","24.92","25.06","24.68","1.80K","-1.73%"
"Jan 30, 2020","25.14","25.36","25.36","25.12","1.27K","-2.35%"
"Jan 29, 2020","25.75","26.00","26.00","25.75","1.21K","0.70%"
"Jan 28, 2020","25.57","25.18","25.57","25.18","3.83K","1.67%"
"Jan 27, 2020","25.15","25.25","25.30","24.83","6.29K","-5.56%"
"Jan 24, 2020","26.63","26.88","26.95","26.63","1.55K","0.43%"
"Jan 23, 2020","26.51","26.83","26.83","26.51","0.82K","-2.52%"
"Jan 22, 2020","27.19","27.63","27.63","27.19","3.14K","0.72%"
"Jan 21, 2020","27.00","27.02","27.02","26.71","0.92K","-2.95%"
"Jan 20, 2020","27.82","27.67","27.85","27.67","10.11K","-0.11%"
"Jan 17, 2020","27.85","27.91","27.91","27.85","0.07K","0.74%"
"Jan 16, 2020","27.65","27.53","27.72","27.53","1.02K","0.33%"
"Jan 15, 2020","27.56","27.67","27.67","27.52","0.39K","-0.54%"
"Jan 14, 2020","27.70","27.87","27.87","27.68","1.43K","-0.61%"
"Jan 13, 2020","27.88","27.76","27.88","27.75","1.39K","1.42%"
"Jan 10, 2020","27.49","27.19","27.63","27.19","1.40K","0.90%"
"Jan 09, 2020","27.24","27.25","27.25","27.16","2.20K","1.45%"
"Jan 08, 2020","26.85","26.55","26.86","26.55","0.19K","0.00%"
"Jan 07, 2020","26.85","26.93","26.93","26.76","0.21K","1.05%"
"Jan 06, 2020","26.58","26.75","26.75","26.44","0.41K","-0.52%"
"Jan 03, 2020","26.72","26.90","26.90","26.66","1.02K","-0.61%"
"Jan 02, 2020","26.88","26.67","26.92","26.67","2.54K","1.91%"
"Dec 30, 2019","26.38","26.38","26.40","26.33","0.66K","-0.06%"
"Dec 27, 2019","26.39","26.48","26.54","26.39","0.72K","0.80%"
"Dec 23, 2019","26.18","25.99","26.26","25.99","0.84K","-0.17%"
"Dec 20, 2019","26.23","26.07","26.27","26.06","2.20K","0.71%"
"Dec 19, 2019","26.04","25.98","26.04","25.98","-","0.02%"
"Dec 18, 2019","26.03","25.99","26.11","25.99","4.24K","0.62%"
