"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","9.26","9.15","9.28","9.14","5.68K","1.56%"
"Sep 29, 2020","9.12","9.12","9.13","9.11","20.60K","-0.46%"
"Sep 28, 2020","9.16","9.15","9.16","9.14","18.38K","1.60%"
"Sep 25, 2020","9.02","8.99","9.02","8.96","6.57K","-0.12%"
"Sep 24, 2020","9.03","9.02","9.03","8.95","22.52K","-1.40%"
"Sep 23, 2020","9.16","9.19","9.22","9.16","19.36K","0.16%"
"Sep 22, 2020","9.14","9.16","9.19","9.14","6.62K","-0.10%"
"Sep 21, 2020","9.15","9.23","9.23","9.12","8.13K","-1.04%"
"Sep 18, 2020","9.25","9.30","9.33","9.25","0.62K","-0.18%"
"Sep 17, 2020","9.26","9.29","9.30","9.26","8.64K","-1.14%"
"Sep 16, 2020","9.37","9.34","9.38","9.34","8.49K","0.40%"
"Sep 15, 2020","9.33","9.27","9.34","9.25","17.44K","1.52%"
"Sep 14, 2020","9.19","9.24","9.24","9.18","11.33K","1.04%"
"Sep 11, 2020","9.10","9.12","9.13","9.10","19.97K","0.41%"
"Sep 10, 2020","9.06","9.10","9.10","9.05","4.22K","-0.57%"
"Sep 09, 2020","9.11","9.06","9.12","9.06","2.22K","0.34%"
"Sep 08, 2020","9.08","9.18","9.18","9.00","26.99K","-0.73%"
"Sep 07, 2020","9.15","9.12","9.15","9.10","12.54K","0.62%"
"Sep 04, 2020","9.09","9.18","9.22","9.04","31.47K","-0.76%"
"Sep 03, 2020","9.16","9.38","9.38","9.14","24.49K","-1.73%"
"Sep 02, 2020","9.32","9.34","9.40","9.32","17.14K","0.85%"
"Sep 01, 2020","9.24","9.24","9.25","9.18","66.73K","1.65%"
"Aug 31, 2020","9.10","9.28","9.28","9.10","19.65K","-2.74%"
"Aug 28, 2020","9.35","9.38","9.38","9.31","118.11K","-0.27%"
"Aug 27, 2020","9.38","9.41","9.42","9.38","35.96K","-0.47%"
"Aug 26, 2020","9.42","9.39","9.42","9.39","13.70K","0.69%"
"Aug 25, 2020","9.35","9.34","9.35","9.30","3.05K","0.93%"
"Aug 24, 2020","9.27","9.28","9.30","9.27","20.78K","1.20%"
"Aug 21, 2020","9.16","9.10","9.17","9.10","17.92K","1.88%"
"Aug 20, 2020","8.99","8.99","9.01","8.98","1.19K","-1.58%"
"Aug 19, 2020","9.13","9.10","9.15","9.10","2.74K","0.00%"
"Aug 18, 2020","9.13","9.15","9.19","9.12","73.63K","-0.74%"
"Aug 17, 2020","9.20","9.19","9.20","9.15","81.70K","0.87%"
"Aug 14, 2020","9.12","9.17","9.17","9.10","33.96K","-0.24%"
"Aug 13, 2020","9.14","9.16","9.17","9.13","66.35K","-0.81%"
"Aug 12, 2020","9.22","9.30","9.30","9.18","181.76K","0.44%"
"Aug 11, 2020","9.18","9.19","9.20","9.15","5.45K","0.89%"
"Aug 10, 2020","9.10","9.12","9.15","9.10","34.44K","-0.46%"
"Aug 07, 2020","9.14","9.10","9.15","9.10","27.32K","-0.49%"
"Aug 06, 2020","9.19","9.20","9.24","9.18","1.70K","-0.23%"
"Aug 05, 2020","9.21","9.21","9.21","9.20","48.22K","0.70%"
"Aug 04, 2020","9.14","9.16","9.17","9.11","14.62K","0.89%"
"Aug 03, 2020","9.06","9.02","9.10","8.99","8.02K","1.84%"
"Jul 31, 2020","8.90","8.95","8.96","8.90","4.32K","-0.40%"
"Jul 30, 2020","8.93","9.03","9.03","8.93","5.44K","-1.26%"
"Jul 29, 2020","9.05","9.04","9.06","9.04","4.58K","0.44%"
"Jul 28, 2020","9.01","9.02","9.02","9.01","10.96K","0.83%"
"Jul 27, 2020","8.93","8.92","8.96","8.90","6.83K","0.00%"
"Jul 24, 2020","8.93","8.90","8.95","8.90","5.90K","-1.90%"
"Jul 23, 2020","9.11","9.11","9.14","9.09","7.09K","0.34%"
