"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","289.26","284.32","289.75","284.18","30.75K","1.06%"
"Sep 29, 2020","286.24","289.06","289.06","286.06","11.54K","-0.97%"
"Sep 28, 2020","289.04","287.17","289.26","286.95","15.51K","2.24%"
"Sep 25, 2020","282.72","280.55","282.84","278.39","20.87K","0.87%"
"Sep 24, 2020","280.28","278.62","280.90","277.57","26.95K","-1.23%"
"Sep 23, 2020","283.76","284.95","286.09","283.76","17.67K","0.86%"
"Sep 22, 2020","281.35","280.57","282.80","280.00","18.76K","1.61%"
"Sep 21, 2020","276.90","280.77","280.78","276.81","31.36K","-2.04%"
"Sep 18, 2020","282.68","284.91","286.26","282.68","53.83K","-1.15%"
"Sep 17, 2020","285.96","284.98","287.11","283.56","25.48K","-1.54%"
"Sep 16, 2020","290.42","289.48","290.51","289.14","19.15K","0.15%"
"Sep 15, 2020","289.99","286.89","289.99","286.63","21.13K","0.73%"
"Sep 14, 2020","287.90","287.00","287.90","285.21","18.89K","1.18%"
"Sep 11, 2020","284.54","285.79","286.32","283.44","22.70K","-1.22%"
"Sep 10, 2020","288.04","289.09","289.40","286.52","19.11K","-0.48%"
"Sep 09, 2020","289.43","285.08","289.60","285.08","55.34K","1.16%"
"Sep 08, 2020","286.10","292.65","293.01","285.00","73.71K","-2.05%"
"Sep 07, 2020","292.08","289.20","292.26","288.79","28.59K","1.55%"
"Sep 04, 2020","287.63","291.91","295.93","285.59","33.94K","-2.45%"
"Sep 03, 2020","294.85","304.87","305.98","293.84","23.32K","-2.05%"
"Sep 02, 2020","301.01","298.99","301.59","298.90","18.34K","1.96%"
"Sep 01, 2020","295.23","294.52","295.63","293.00","17.32K","0.32%"
"Aug 31, 2020","294.28","297.27","297.99","293.78","17.25K","-0.21%"
"Aug 28, 2020","294.91","296.32","296.32","294.22","8.73K","-0.87%"
"Aug 27, 2020","297.51","295.39","298.13","294.09","18.06K","1.27%"
"Aug 26, 2020","293.78","292.74","294.10","292.71","14.15K","0.69%"
"Aug 25, 2020","291.76","293.38","293.52","290.96","9.96K","0.24%"
"Aug 24, 2020","291.06","290.45","291.14","290.00","11.10K","0.81%"
"Aug 21, 2020","288.71","286.72","289.58","286.61","18.87K","0.87%"
"Aug 20, 2020","286.23","284.85","286.37","284.54","10.32K","-0.20%"
"Aug 19, 2020","286.80","285.33","286.80","285.12","6.99K","0.56%"
"Aug 18, 2020","285.20","285.38","286.29","283.84","15.72K","-0.38%"
"Aug 17, 2020","286.29","286.04","286.67","285.50","14.29K","-0.09%"
"Aug 14, 2020","286.54","287.05","287.37","285.16","14.96K","-0.17%"
"Aug 13, 2020","287.02","286.45","287.30","285.70","11.91K","-0.19%"
"Aug 12, 2020","287.57","286.88","287.60","285.92","27.08K","-0.03%"
"Aug 11, 2020","287.67","288.04","288.64","286.59","20.02K","0.61%"
"Aug 10, 2020","285.94","285.99","286.78","284.57","15.32K","0.35%"
"Aug 07, 2020","284.95","283.14","285.54","282.66","15.13K","1.19%"
"Aug 06, 2020","281.61","281.02","282.85","280.24","10.96K","0.34%"
"Aug 05, 2020","280.66","281.82","282.35","280.23","22.80K","-0.29%"
"Aug 04, 2020","281.47","281.44","282.11","279.29","18.56K","-0.11%"
"Aug 03, 2020","281.77","279.10","282.29","278.00","41.52K","2.38%"
"Jul 31, 2020","275.22","275.18","277.28","273.69","11.96K","0.02%"
"Jul 30, 2020","275.17","276.87","276.87","272.64","21.83K","-0.48%"
"Jul 29, 2020","276.49","275.55","276.54","275.11","13.00K","-0.16%"
"Jul 28, 2020","276.92","277.06","277.69","275.25","13.59K","0.79%"
"Jul 27, 2020","274.74","276.28","277.07","274.74","15.69K","-1.02%"
"Jul 24, 2020","277.56","277.75","279.71","276.85","16.31K","-1.93%"
"Jul 23, 2020","283.03","284.22","284.97","282.66","14.86K","0.21%"
"Jul 22, 2020","282.45","283.51","283.87","281.28","22.14K","-1.15%"
"Jul 21, 2020","285.74","286.21","287.45","285.00","50.09K","0.73%"
"Jul 20, 2020","283.68","280.59","283.98","280.22","18.87K","0.41%"
"Jul 17, 2020","282.53","282.76","283.25","281.15","8.68K","0.45%"
"Jul 16, 2020","281.27","282.20","282.58","280.79","18.88K","-0.59%"
"Jul 15, 2020","282.95","282.62","284.35","281.57","30.81K","1.52%"
"Jul 14, 2020","278.70","280.42","280.53","275.80","37.86K","-2.23%"
"Jul 13, 2020","285.07","283.50","285.24","282.89","16.78K","1.73%"
"Jul 10, 2020","280.23","278.20","280.37","277.90","54.17K","0.94%"
"Jul 09, 2020","277.61","279.75","281.08","276.50","17.99K","-0.31%"
"Jul 08, 2020","278.47","279.77","280.59","277.92","22.11K","-1.21%"
"Jul 07, 2020","281.87","281.04","282.54","279.87","58.69K","-0.05%"
"Jul 06, 2020","282.01","281.57","282.41","280.21","22.67K","1.24%"
"Jul 03, 2020","278.55","280.50","280.53","278.00","17.30K","-0.61%"
"Jul 02, 2020","280.27","277.88","281.61","277.50","20.45K","1.36%"
"Jul 01, 2020","276.50","276.55","278.41","275.32","39.87K","0.89%"
"Jun 30, 2020","274.05","273.27","274.61","271.85","27.83K","1.14%"
"Jun 29, 2020","270.95","268.99","271.05","267.00","30.73K","0.07%"
"Jun 26, 2020","270.76","275.05","275.75","269.90","68.01K","-0.36%"
"Jun 25, 2020","271.75","270.61","273.28","269.33","77.34K","0.08%"
"Jun 24, 2020","271.53","277.05","277.75","271.53","47.88K","-2.53%"
"Jun 23, 2020","278.57","277.68","279.47","277.05","59.87K","0.91%"
"Jun 22, 2020","276.06","276.12","277.43","274.83","26.53K","-1.57%"
"Jun 19, 2020","280.46","279.26","281.48","279.04","20.86K","0.88%"
"Jun 18, 2020","278.00","277.15","278.60","275.58","24.33K","-0.44%"
"Jun 17, 2020","279.24","278.27","281.00","277.91","67.67K","0.46%"
"Jun 16, 2020","277.95","273.92","280.70","273.52","117.44K","3.64%"
"Jun 15, 2020","268.18","262.92","268.84","262.20","50.89K","-0.88%"
"Jun 12, 2020","270.57","268.76","273.40","267.81","64.50K","-0.21%"
"Jun 11, 2020","271.15","276.72","276.93","271.15","41.88K","-3.65%"
"Jun 10, 2020","281.43","284.16","284.63","280.79","27.43K","-0.52%"
"Jun 09, 2020","282.91","286.46","286.57","281.90","21.79K","-0.58%"
"Jun 08, 2020","284.57","282.59","285.05","282.35","107.52K","0.16%"
"Jun 05, 2020","284.11","276.16","284.11","276.01","43.21K","3.11%"
"Jun 04, 2020","275.53","277.87","278.39","275.00","29.01K","-0.86%"
"Jun 03, 2020","277.92","275.98","278.12","275.76","36.40K","1.36%"
"Jun 02, 2020","274.20","274.65","275.97","273.24","75.76K","1.09%"
"May 29, 2020","271.24","273.08","273.25","270.62","41.79K","-1.86%"
"May 28, 2020","276.37","276.57","277.55","275.31","37.81K","1.34%"
"May 27, 2020","272.71","275.38","277.14","270.46","50.76K","-0.53%"
"May 26, 2020","274.16","276.12","276.57","273.92","30.01K","-0.31%"
"May 25, 2020","275.00","273.12","275.00","272.73","20.25K","1.89%"
"May 22, 2020","269.91","267.55","270.82","266.83","20.63K","0.20%"
"May 21, 2020","269.37","269.03","271.12","268.79","18.35K","-0.66%"
"May 20, 2020","271.16","268.62","272.00","268.17","61.42K","0.11%"
"May 19, 2020","270.85","271.54","271.69","268.20","26.36K","-0.32%"
"May 18, 2020","271.71","267.44","271.97","267.15","48.45K","3.80%"
"May 15, 2020","261.77","265.13","265.48","259.89","27.60K","0.63%"
"May 14, 2020","260.13","260.39","261.46","256.40","37.50K","-0.65%"
"May 13, 2020","261.83","264.43","265.54","261.50","58.32K","-2.80%"
"May 12, 2020","269.38","269.10","271.25","268.63","371.92K","-0.30%"
"May 11, 2020","270.18","271.10","272.10","267.79","28.04K","0.50%"
"May 08, 2020","268.84","269.20","269.60","267.69","13.51K","0.31%"
"May 07, 2020","268.00","265.38","268.20","265.34","55.73K","1.00%"
"May 06, 2020","265.34","266.54","268.21","264.39","16.98K","-0.48%"
"May 05, 2020","266.61","262.16","266.61","261.86","57.56K","3.29%"
"May 04, 2020","258.11","257.11","258.56","255.32","65.39K","-2.95%"
"Apr 30, 2020","265.96","271.36","272.12","265.87","32.24K","-1.49%"
"Apr 29, 2020","269.97","266.89","270.42","265.92","36.37K","1.59%"
"Apr 28, 2020","265.74","265.39","268.60","264.00","31.12K","0.25%"
"Apr 27, 2020","265.08","262.84","265.08","262.69","30.02K","2.43%"
"Apr 24, 2020","258.80","258.61","260.95","258.08","24.40K","-0.97%"
"Apr 23, 2020","261.33","259.07","262.55","257.93","16.20K","1.51%"
"Apr 22, 2020","257.44","254.44","257.56","253.78","25.15K","2.44%"
"Apr 21, 2020","251.31","259.56","260.25","251.22","48.90K","-4.55%"
"Apr 20, 2020","263.30","263.38","263.46","259.30","48.47K","1.01%"
"Apr 17, 2020","260.67","264.53","266.40","259.87","64.57K","1.21%"
"Apr 16, 2020","257.56","257.64","258.33","253.73","35.52K","1.46%"
"Apr 15, 2020","253.86","258.50","258.57","253.00","47.24K","-1.28%"
"Apr 14, 2020","257.14","256.87","258.92","255.00","45.72K","0.77%"
"Apr 09, 2020","255.18","253.99","256.86","249.10","46.48K","2.16%"
"Apr 08, 2020","249.78","244.91","249.78","242.70","34.60K","-0.05%"
"Apr 07, 2020","249.91","248.64","252.52","246.39","119.85K","3.80%"
"Apr 06, 2020","240.76","238.86","241.80","238.14","52.06K","4.41%"
"Apr 03, 2020","230.60","230.80","235.00","230.10","36.21K","-0.10%"
