"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","138.91","139.01","139.06","138.91","1.93K","-0.10%"
"Sep 29, 2020","139.05","138.96","139.10","138.93","0.09K","0.06%"
"Sep 28, 2020","138.97","138.92","138.98","138.86","1.97K","0.02%"
"Sep 25, 2020","138.94","138.89","139.01","138.89","7.06K","-0.01%"
"Sep 24, 2020","138.96","139.04","139.09","138.90","1.04K","-0.05%"
"Sep 23, 2020","139.03","139.04","139.10","139.00","0.44K","0.01%"
"Sep 22, 2020","139.02","138.96","139.05","138.94","1.83K","0.04%"
"Sep 21, 2020","138.97","138.72","139.05","138.68","7.40K","0.14%"
"Sep 18, 2020","138.77","138.75","138.90","138.75","0.50K","0.00%"
"Sep 17, 2020","138.77","138.75","138.86","138.68","0.15K","0.03%"
"Sep 16, 2020","138.74","138.68","138.78","138.64","0.06K","0.04%"
"Sep 15, 2020","138.68","138.68","138.68","138.54","0.98K","0.03%"
"Sep 14, 2020","138.63","138.63","138.66","138.63","0.05K","0.05%"
"Sep 11, 2020","138.55","138.51","138.58","138.43","0.29K","0.13%"
"Sep 10, 2020","138.37","138.46","138.49","138.37","0.98K","-0.07%"
"Sep 09, 2020","138.46","138.60","138.65","138.46","2.72K","-0.07%"
"Sep 08, 2020","138.56","138.38","138.78","138.38","5.54K","0.10%"
"Sep 07, 2020","138.42","138.42","138.51","138.32","0.14K","-0.08%"
"Sep 04, 2020","138.52","138.67","138.67","138.52","0.62K","-0.09%"
"Sep 03, 2020","138.65","138.66","138.76","138.60","0.04K","-0.02%"
"Sep 02, 2020","138.68","138.42","138.68","138.38","0.24K","0.27%"
"Sep 01, 2020","138.30","138.24","138.32","138.13","0.56K","0.13%"
"Aug 31, 2020","138.12","138.25","138.32","138.12","0.26K","-0.07%"
"Aug 28, 2020","138.22","138.18","138.36","138.12","3.50K","-0.03%"
"Aug 27, 2020","138.26","138.33","138.53","138.26","0.24K","-0.04%"
"Aug 26, 2020","138.31","138.15","138.31","138.11","0.41K","0.05%"
"Aug 25, 2020","138.24","138.47","138.47","138.13","0.04K","-0.25%"
"Aug 24, 2020","138.60","138.67","138.71","138.54","0.91K","-0.04%"
"Aug 21, 2020","138.65","138.65","138.74","138.63","0.07K","-0.03%"
"Aug 20, 2020","138.68","138.65","138.71","138.55","0.01K","0.04%"
"Aug 19, 2020","138.63","138.59","138.73","138.59","1.49K","0.03%"
"Aug 18, 2020","138.60","138.53","138.63","138.46","0.10K","0.07%"
"Aug 17, 2020","138.49","138.38","138.49","138.36","0.05K","0.16%"
"Aug 14, 2020","138.27","138.19","138.28","138.17","0.04K","0.03%"
"Aug 13, 2020","138.24","138.51","138.54","138.23","0.43K","-0.22%"
"Aug 12, 2020","138.54","138.49","138.54","138.38","2.64K","-0.02%"
"Aug 11, 2020","138.57","138.74","138.75","138.54","0.03K","-0.12%"
"Aug 10, 2020","138.74","138.59","138.76","138.59","0.03K","0.07%"
"Aug 07, 2020","138.65","138.72","138.77","138.62","0.74K","-0.05%"
"Aug 06, 2020","138.71","138.53","138.74","138.50","0.02K","0.12%"
"Aug 05, 2020","138.55","138.73","138.79","138.54","0.20K","-0.15%"
"Aug 04, 2020","138.76","138.51","138.78","138.44","0.10K","0.19%"
"Aug 03, 2020","138.50","138.58","138.58","138.38","1.03K","-0.06%"
"Jul 31, 2020","138.58","138.67","138.71","138.51","0.96K","-0.05%"
"Jul 30, 2020","138.65","138.49","138.70","138.49","0.27K","0.14%"
"Jul 29, 2020","138.45","138.47","138.47","138.38","0.85K","-0.01%"
"Jul 28, 2020","138.46","138.34","138.47","138.34","0.89K","0.02%"
"Jul 27, 2020","138.43","138.31","138.43","138.28","2.09K","0.05%"
"Jul 24, 2020","138.36","138.51","138.56","138.32","0.02K","-0.13%"
"Jul 23, 2020","138.54","138.42","138.60","138.42","2.16K","0.00%"
"Jul 22, 2020","138.54","138.22","138.54","138.22","1.71K","0.14%"
"Jul 21, 2020","138.34","138.30","138.41","138.22","0.06K","0.05%"
"Jul 20, 2020","138.26","138.08","138.32","137.98","0.05K","0.13%"
"Jul 17, 2020","138.08","138.09","138.12","138.02","1.07K","-0.06%"
"Jul 16, 2020","138.16","137.99","138.20","137.90","0.24K","0.13%"
"Jul 15, 2020","137.98","137.90","138.04","137.88","1.70K","-0.01%"
"Jul 14, 2020","138.00","137.94","138.00","137.76","0.30K","0.15%"
"Jul 13, 2020","137.79","137.89","138.01","137.79","0.01K","-0.18%"
"Jul 10, 2020","138.04","138.07","138.10","137.98","0.70K","-0.01%"
"Jul 09, 2020","138.05","138.06","138.10","137.94","2.02K","-0.01%"
"Jul 08, 2020","138.06","138.01","138.08","137.94","1.67K","0.10%"
"Jul 07, 2020","137.92","138.03","138.08","137.92","0.43K","-0.03%"
"Jul 06, 2020","137.96","137.82","138.01","137.82","0.10K","0.03%"
"Jul 03, 2020","137.92","137.95","138.07","137.92","0.19K","-0.02%"
"Jul 02, 2020","137.95","137.73","138.01","137.73","0.25K","0.17%"
"Jul 01, 2020","137.71","137.86","137.86","137.62","0.17K","-0.19%"
"Jun 30, 2020","137.97","137.93","138.08","137.93","0.14K","0.01%"
"Jun 29, 2020","137.95","137.95","138.02","137.95","1.86K","0.01%"
"Jun 26, 2020","137.94","137.97","138.02","137.90","0.14K","-0.01%"
"Jun 25, 2020","137.95","137.91","137.96","137.88","0.01K","0.02%"
"Jun 24, 2020","137.92","137.75","137.92","137.74","0.17K","0.09%"
"Jun 23, 2020","137.79","137.83","137.91","137.78","0.03K","-0.07%"
