"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","105.54","105.46","106.40","105.04","21.48K","-0.57%"
"Sep 29, 2020","106.14","106.22","106.46","105.52","6.65K","-0.23%"
"Sep 28, 2020","106.38","104.96","106.42","104.96","6.56K","2.78%"
"Sep 25, 2020","103.50","104.02","104.12","102.32","89.65K","-0.75%"
"Sep 24, 2020","104.28","103.78","104.94","103.72","10.90K","-0.65%"
"Sep 23, 2020","104.96","105.38","106.34","104.96","37.23K","0.63%"
"Sep 22, 2020","104.30","104.90","105.30","104.30","21.67K","0.13%"
"Sep 21, 2020","104.16","107.36","107.36","104.06","52.16K","-4.07%"
"Sep 18, 2020","108.58","109.50","109.80","108.56","22.80K","-0.77%"
"Sep 17, 2020","109.42","108.74","109.74","108.74","8.98K","-0.65%"
"Sep 16, 2020","110.14","110.18","110.52","109.34","13.57K","0.09%"
"Sep 15, 2020","110.04","109.64","110.26","109.30","12.74K","0.49%"
"Sep 14, 2020","109.50","110.18","110.42","109.24","9.32K","0.07%"
"Sep 11, 2020","109.42","109.04","109.84","108.72","22.45K","0.13%"
"Sep 10, 2020","109.28","109.98","110.12","109.14","43.76K","-0.53%"
"Sep 09, 2020","109.86","108.14","109.86","108.14","9.49K","2.04%"
"Sep 08, 2020","107.66","109.38","109.56","107.20","31.86K","-1.55%"
"Sep 07, 2020","109.36","108.18","109.58","108.18","45.09K","1.64%"
"Sep 04, 2020","107.60","108.04","109.78","106.88","29.97K","-1.28%"
"Sep 03, 2020","109.00","111.46","111.90","108.38","24.82K","-1.05%"
"Sep 02, 2020","110.16","108.74","110.80","108.74","18.90K","1.85%"
"Sep 01, 2020","108.16","108.60","109.18","107.12","47.58K","0.07%"
"Aug 31, 2020","108.08","110.10","110.32","107.72","10.04K","-1.17%"
"Aug 28, 2020","109.36","109.92","109.92","109.00","10.77K","-0.40%"
"Aug 27, 2020","109.80","110.64","110.70","109.80","7.92K","-0.83%"
"Aug 26, 2020","110.72","109.40","110.72","109.40","10.25K","0.86%"
"Aug 25, 2020","109.78","110.82","111.12","109.78","22.65K","-0.09%"
"Aug 24, 2020","109.88","108.96","110.02","108.96","19.31K","2.29%"
"Aug 21, 2020","107.42","108.38","108.46","106.38","50.75K","-0.63%"
"Aug 20, 2020","108.10","107.84","108.40","107.42","13.92K","-1.21%"
"Aug 19, 2020","109.42","108.16","109.42","108.02","4.59K","0.92%"
"Aug 18, 2020","108.42","108.26","109.90","108.06","37.48K","-0.53%"
"Aug 17, 2020","109.00","109.36","109.36","108.78","23.60K","0.02%"
"Aug 14, 2020","108.98","109.78","109.78","108.08","18.09K","-1.11%"
"Aug 13, 2020","110.20","110.66","110.84","110.08","16.89K","-0.67%"
"Aug 12, 2020","110.94","109.58","111.28","109.58","29.21K","0.91%"
"Aug 11, 2020","109.94","108.68","110.42","108.62","24.36K","2.19%"
"Aug 10, 2020","107.58","107.54","107.90","107.18","11.35K","0.22%"
"Aug 07, 2020","107.34","106.98","107.40","106.30","4.35K","0.41%"
"Aug 06, 2020","106.90","107.38","108.24","106.32","79.55K","-0.82%"
"Aug 05, 2020","107.78","108.06","108.54","107.68","5.53K","0.43%"
"Aug 04, 2020","107.32","108.02","108.02","106.58","22.59K","0.13%"
"Aug 03, 2020","107.18","105.08","107.42","104.68","34.36K","2.58%"
"Jul 31, 2020","104.48","106.12","106.84","104.48","54.84K","-1.38%"
"Jul 30, 2020","105.94","108.70","108.70","104.80","54.70K","-2.72%"
"Jul 29, 2020","108.90","109.06","109.22","108.64","6.32K","-0.04%"
"Jul 28, 2020","108.94","108.94","109.34","108.24","23.66K","0.11%"
"Jul 27, 2020","108.82","109.14","109.32","108.58","9.30K","-0.22%"
