"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","109.19","108.90","109.62","108.32","7.53K","-0.09%"
"Sep 29, 2020","109.29","109.04","109.50","108.63","10.16K","0.33%"
"Sep 28, 2020","108.93","108.84","109.56","108.64","8.41K","2.14%"
"Sep 25, 2020","106.65","107.46","107.46","105.20","34.07K","-0.40%"
"Sep 24, 2020","107.08","106.90","107.86","106.90","14.98K","-0.74%"
"Sep 23, 2020","107.88","108.50","109.32","107.88","29.72K","0.00%"
"Sep 22, 2020","107.88","107.72","108.22","107.32","36.85K","1.03%"
"Sep 21, 2020","106.78","110.46","110.46","106.62","54.18K","-4.80%"
"Sep 18, 2020","112.16","112.50","112.96","112.16","4.07K","-0.05%"
"Sep 17, 2020","112.22","111.50","112.86","111.34","16.26K","-0.20%"
"Sep 16, 2020","112.44","112.62","112.92","112.42","15.08K","-0.21%"
"Sep 15, 2020","112.68","112.32","113.00","112.08","13.06K","0.14%"
"Sep 14, 2020","112.52","113.18","113.70","112.20","14.31K","0.10%"
"Sep 11, 2020","112.41","112.24","112.90","111.80","17.91K","0.08%"
"Sep 10, 2020","112.32","113.10","113.32","112.22","45.37K","-0.52%"
"Sep 09, 2020","112.91","111.42","112.98","111.36","12.22K","2.26%"
"Sep 08, 2020","110.41","111.84","112.00","109.80","17.72K","-0.37%"
"Sep 07, 2020","110.82","110.30","111.80","110.30","11.09K","-0.59%"
"Sep 04, 2020","111.48","110.62","111.84","109.00","17.65K","-2.16%"
"Sep 03, 2020","113.94","114.12","114.70","110.88","37.64K","0.96%"
"Sep 02, 2020","112.86","111.74","113.40","111.74","11.03K","2.61%"
"Sep 01, 2020","109.99","111.00","111.72","109.62","46.09K","-1.34%"
"Aug 31, 2020","111.48","111.66","111.94","110.18","5.88K","0.04%"
"Aug 28, 2020","111.44","111.72","111.72","110.76","5.79K","-0.43%"
"Aug 27, 2020","111.92","112.26","112.62","111.56","5.93K","-0.04%"
"Aug 26, 2020","111.96","111.48","112.48","111.48","13.06K","0.34%"
"Aug 25, 2020","111.58","112.60","112.62","111.56","5.24K","0.09%"
"Aug 24, 2020","111.48","110.56","111.72","110.38","31.57K","1.74%"
"Aug 21, 2020","109.57","109.74","110.00","107.94","19.86K","0.30%"
"Aug 20, 2020","109.24","109.48","109.78","108.88","17.15K","-0.87%"
"Aug 19, 2020","110.20","109.46","110.70","109.46","4.65K","-0.92%"
"Aug 18, 2020","111.22","109.56","111.22","109.24","17.73K","0.94%"
"Aug 17, 2020","110.18","109.58","110.48","109.58","13.77K","0.81%"
"Aug 14, 2020","109.29","110.54","110.54","109.14","10.95K","-1.69%"
"Aug 13, 2020","111.17","111.16","111.46","110.50","28.44K","0.85%"
"Aug 12, 2020","110.23","110.22","111.64","109.84","18.85K","-0.56%"
"Aug 11, 2020","110.85","109.30","111.12","109.30","47.16K","2.24%"
"Aug 10, 2020","108.42","108.00","108.60","107.54","6.07K","0.39%"
"Aug 07, 2020","108.00","107.32","108.12","106.86","5.51K","0.43%"
"Aug 06, 2020","107.54","107.88","109.06","106.78","6.15K","-1.01%"
"Aug 05, 2020","108.64","108.28","108.66","107.74","11.89K","1.34%"
"Aug 04, 2020","107.20","108.48","108.48","106.94","17.71K","-0.40%"
"Aug 03, 2020","107.63","105.62","108.20","105.58","31.89K","1.29%"
"Jul 31, 2020","106.26","105.64","106.80","105.06","32.28K","0.43%"
"Jul 30, 2020","105.81","108.26","108.26","104.58","152.92K","-3.18%"
"Jul 29, 2020","109.29","109.34","109.62","109.16","13.46K","0.41%"
"Jul 28, 2020","108.84","109.88","110.28","108.84","11.14K","-0.73%"
"Jul 27, 2020","109.64","109.92","110.02","109.30","32.41K","-0.48%"
"Jul 24, 2020","110.17","110.20","110.32","109.32","10.60K","-1.69%"
"Jul 23, 2020","112.06","112.64","112.64","111.49","9.97K","0.47%"
"Jul 22, 2020","111.54","112.52","112.52","111.54","4.62K","-1.67%"
"Jul 21, 2020","113.43","112.36","113.50","112.32","22.41K","2.06%"
"Jul 20, 2020","111.14","109.78","111.42","109.40","21.64K","0.80%"
"Jul 17, 2020","110.26","110.22","110.48","109.82","26.53K","0.05%"
"Jul 16, 2020","110.20","109.46","110.20","109.32","34.67K","0.76%"
"Jul 15, 2020","109.37","109.34","110.72","108.22","25.97K","1.61%"
"Jul 14, 2020","107.64","107.54","108.22","107.22","20.23K","-1.19%"
"Jul 13, 2020","108.94","109.30","109.36","107.88","53.50K","1.79%"
"Jul 10, 2020","107.02","105.98","107.76","105.98","24.67K","-1.04%"
"Jul 09, 2020","108.14","107.68","108.28","106.48","13.44K","1.56%"
"Jul 08, 2020","106.48","107.34","107.84","106.48","19.00K","-0.86%"
"Jul 07, 2020","107.40","107.84","108.68","106.80","60.81K","-1.03%"
"Jul 06, 2020","108.52","108.86","109.46","106.88","36.97K","0.84%"
"Jul 03, 2020","107.62","107.66","107.76","106.53","74.52K","0.79%"
"Jul 02, 2020","106.78","106.48","107.92","105.97","8.25K","1.52%"
"Jul 01, 2020","105.18","104.00","105.26","103.22","78.75K","0.85%"
"Jun 30, 2020","104.29","104.54","105.26","104.08","93.79K","0.46%"
"Jun 29, 2020","103.81","103.80","104.78","103.18","157.91K","0.74%"
"Jun 26, 2020","103.05","104.92","105.32","103.02","32.74K","-0.79%"
"Jun 25, 2020","103.87","103.24","104.35","102.18","95.03K","-1.17%"
"Jun 24, 2020","105.10","106.20","106.80","103.30","103.26K","-1.46%"
"Jun 23, 2020","106.66","105.24","107.58","104.60","87.42K","1.68%"
"Jun 22, 2020","104.90","104.20","105.74","103.88","30.52K","-0.81%"
"Jun 19, 2020","105.76","105.72","106.10","104.86","38.51K","0.19%"
"Jun 18, 2020","105.56","105.52","106.44","104.28","42.25K","0.07%"
"Jun 17, 2020","105.49","105.30","106.02","104.96","64.76K","0.61%"
"Jun 16, 2020","104.85","104.14","106.12","101.78","74.81K","2.95%"
"Jun 15, 2020","101.85","99.37","102.30","99.15","38.24K","-0.51%"
"Jun 12, 2020","102.37","101.04","103.84","101.04","54.99K","-1.52%"
"Jun 11, 2020","103.95","104.30","106.90","102.22","122.11K","-2.90%"
"Jun 10, 2020","107.06","108.74","108.74","106.56","60.37K","-0.19%"
"Jun 09, 2020","107.26","109.06","109.42","106.78","74.99K","-1.78%"
"Jun 08, 2020","109.20","108.32","110.18","108.28","37.44K","1.06%"
"Jun 05, 2020","108.05","107.40","109.75","106.08","113.47K","1.96%"
"Jun 04, 2020","105.97","105.76","106.99","105.46","81.87K","0.93%"
"Jun 03, 2020","104.99","103.78","106.78","102.60","109.06K","2.37%"
"Jun 02, 2020","102.56","101.12","102.92","99.09","52.23K","3.19%"
"May 29, 2020","99.39","99.36","100.68","98.98","26.60K","-1.32%"
"May 28, 2020","100.72","100.22","100.88","99.57","53.86K","0.56%"
"May 27, 2020","100.16","98.66","100.26","98.30","74.26K","1.88%"
"May 26, 2020","98.31","98.06","98.54","97.29","43.62K","1.64%"
"May 25, 2020","96.72","95.49","97.16","94.61","45.10K","2.22%"
"May 22, 2020","94.62","93.06","94.95","92.98","41.48K","0.08%"
"May 21, 2020","94.54","94.85","95.99","94.26","32.18K","0.08%"
"May 20, 2020","94.46","93.85","95.94","93.85","22.07K","-0.02%"
"May 19, 2020","94.48","95.21","95.56","93.41","51.32K","0.52%"
"May 18, 2020","93.99","91.48","94.29","89.40","65.37K","5.52%"
"May 15, 2020","89.07","89.67","90.03","88.48","52.77K","1.10%"
"May 14, 2020","88.10","89.37","90.00","86.84","37.70K","-2.77%"
"May 13, 2020","90.61","91.08","92.49","90.10","39.61K","-2.17%"
"May 12, 2020","92.62","92.25","92.94","92.21","31.99K","-0.82%"
"May 11, 2020","93.39","93.58","93.82","91.98","37.08K","0.34%"
"May 08, 2020","93.07","92.94","93.29","91.98","35.92K","1.87%"
"May 07, 2020","91.36","91.40","91.78","90.71","16.35K","-0.36%"
"May 06, 2020","91.69","91.55","92.13","90.81","11.70K","0.57%"
"May 05, 2020","91.17","90.76","91.56","89.63","38.93K","1.27%"
"May 04, 2020","90.03","90.40","92.88","89.23","49.18K","-3.59%"
"Apr 30, 2020","93.38","95.94","95.94","92.77","81.15K","0.58%"
"Apr 29, 2020","92.84","92.75","95.14","92.29","102.94K","0.47%"
"Apr 28, 2020","92.41","91.19","93.26","91.19","90.38K","1.82%"
"Apr 27, 2020","90.76","90.44","90.97","90.08","21.61K","1.91%"
"Apr 24, 2020","89.06","88.50","89.86","88.20","75.33K","-0.54%"
"Apr 23, 2020","89.54","89.12","90.58","88.39","52.16K","1.23%"
"Apr 22, 2020","88.45","88.49","89.20","87.65","45.04K","-0.53%"
"Apr 21, 2020","88.92","89.98","91.53","87.77","128.78K","-2.33%"
