"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","26.70","26.35","26.70","26.35","0.29K","1.14%"
"Sep 29, 2020","26.40","26.38","26.45","26.38","0.00K","0.17%"
"Sep 28, 2020","26.35","26.27","26.46","26.27","0.43K","2.13%"
"Sep 25, 2020","25.81","26.09","26.09","25.67","0.21K","-0.25%"
"Sep 24, 2020","25.87","25.85","25.87","25.78","0.09K","-1.43%"
"Sep 23, 2020","26.25","26.27","26.55","26.25","0.31K","-0.08%"
"Sep 22, 2020","26.26","26.29","26.40","26.26","0.00K","-0.44%"
"Sep 21, 2020","26.38","26.86","26.86","26.38","0.39K","-1.35%"
"Sep 18, 2020","26.74","26.94","27.18","26.74","0.04K","-0.26%"
"Sep 17, 2020","26.81","26.79","26.91","26.79","0.29K","-1.29%"
"Sep 16, 2020","27.16","26.94","27.19","26.94","0.20K","0.57%"
"Sep 15, 2020","27.00","26.95","27.02","26.69","0.45K","1.45%"
"Sep 14, 2020","26.62","26.65","26.67","26.51","0.24K","1.70%"
"Sep 11, 2020","26.17","26.20","26.20","26.15","0.11K","0.36%"
"Sep 10, 2020","26.08","26.24","26.24","26.08","0.02K","-0.48%"
"Sep 09, 2020","26.20","26.11","26.22","26.11","0.10K","0.48%"
"Sep 08, 2020","26.08","26.32","26.32","26.03","0.80K","0.17%"
"Sep 07, 2020","26.03","25.94","26.05","25.94","0.03K","1.74%"
"Sep 04, 2020","25.59","25.67","25.80","25.59","0.08K","-0.29%"
"Sep 03, 2020","25.67","26.20","26.20","25.67","0.11K","0.08%"
"Sep 02, 2020","25.65","25.67","25.88","25.63","2.29K","0.39%"
"Sep 01, 2020","25.55","25.57","25.59","25.43","0.56K","2.24%"
"Aug 31, 2020","24.99","25.32","25.32","24.99","5.93K","-3.66%"
"Aug 28, 2020","25.93","25.92","25.93","25.82","-","-0.12%"
"Aug 27, 2020","25.97","25.82","25.99","25.82","0.80K","-1.12%"
"Aug 26, 2020","26.26","26.16","26.33","26.16","0.02K","0.84%"
"Aug 25, 2020","26.04","26.16","26.16","26.04","0.54K","0.99%"
"Aug 24, 2020","25.78","25.87","25.92","25.78","-","1.26%"
"Aug 21, 2020","25.47","25.49","25.52","25.47","0.15K","1.80%"
"Aug 20, 2020","25.01","25.01","25.03","24.94","0.15K","-3.83%"
"Aug 19, 2020","26.01","25.90","26.05","25.90","1.06K","0.50%"
"Aug 18, 2020","25.88","25.99","26.09","25.88","1.96K","-3.38%"
"Aug 17, 2020","26.78","26.91","26.91","26.58","0.29K","0.90%"
"Aug 14, 2020","26.55","26.70","26.70","26.43","0.72K","-1.67%"
"Aug 13, 2020","27.00","27.00","27.03","26.93","1.85K","-0.75%"
"Aug 12, 2020","27.20","27.09","27.20","27.09","0.13K","0.65%"
"Aug 11, 2020","27.02","27.06","27.13","27.02","0.19K","2.12%"
"Aug 10, 2020","26.47","26.48","26.59","26.47","0.32K","1.87%"
"Aug 07, 2020","25.98","25.95","26.05","25.92","1.00K","0.62%"
"Aug 06, 2020","25.82","25.84","25.94","25.81","2.24K","0.82%"
"Aug 05, 2020","25.61","25.52","25.80","25.52","0.01K","2.24%"
"Aug 04, 2020","25.05","25.15","25.15","25.05","-","0.36%"
"Aug 03, 2020","24.96","25.02","25.09","24.80","0.39K","1.94%"
"Jul 31, 2020","24.49","24.50","24.69","24.49","0.09K","-0.85%"
"Jul 30, 2020","24.69","25.01","25.01","24.69","0.13K","-1.38%"
"Jul 29, 2020","25.04","25.01","25.07","25.01","-","1.03%"
"Jul 28, 2020","24.78","24.86","24.86","24.73","-","1.49%"
"Jul 27, 2020","24.42","24.49","24.49","24.42","-","0.72%"
"Jul 24, 2020","24.25","24.22","24.32","24.22","-","-0.74%"
"Jul 23, 2020","24.42","24.42","24.61","24.42","0.39K","-1.01%"
"Jul 22, 2020","24.67","24.90","24.90","24.63","0.43K","-1.71%"
"Jul 21, 2020","25.10","25.27","25.27","25.10","0.57K","0.86%"
"Jul 20, 2020","24.89","24.61","24.92","24.61","0.55K","0.38%"
"Jul 17, 2020","24.80","24.82","24.83","24.80","-","0.38%"
"Jul 16, 2020","24.70","24.59","24.84","24.59","0.04K","-0.72%"
"Jul 15, 2020","24.88","25.00","25.01","24.75","4.63K","0.85%"
"Jul 14, 2020","24.67","24.74","24.74","24.41","12.19K","-1.34%"
"Jul 13, 2020","25.00","24.85","25.00","24.85","-","1.56%"
"Jul 10, 2020","24.62","24.61","24.69","24.61","0.25K","-0.38%"
"Jul 09, 2020","24.72","24.80","24.93","24.72","1.20K","-0.32%"
"Jul 08, 2020","24.80","24.83","24.89","24.76","0.02K","-0.80%"
"Jul 07, 2020","25.00","24.83","25.07","24.76","1.05K","-1.42%"
"Jul 06, 2020","25.35","25.17","25.35","25.17","0.43K","2.42%"
"Jul 03, 2020","24.75","24.88","24.88","24.75","-","-0.12%"
"Jul 02, 2020","24.78","24.52","24.78","24.52","0.25K","2.14%"
"Jul 01, 2020","24.26","24.39","24.45","24.20","0.94K","-0.33%"
"Jun 30, 2020","24.34","24.36","24.36","24.29","0.01K","0.47%"
"Jun 29, 2020","24.23","24.38","24.38","24.00","0.25K","-0.10%"
"Jun 26, 2020","24.25","24.59","24.61","24.25","-","-0.12%"
"Jun 25, 2020","24.28","24.27","24.41","24.02","1.11K","-0.12%"
"Jun 24, 2020","24.32","24.68","24.68","24.32","0.12K","-0.25%"
"Jun 23, 2020","24.38","24.23","24.38","24.23","0.07K","0.47%"
"Jun 22, 2020","24.26","24.20","24.26","24.10","-","-0.74%"
"Jun 19, 2020","24.44","24.33","24.47","24.33","-","0.93%"
"Jun 18, 2020","24.22","24.19","24.23","24.19","0.40K","-0.08%"
"Jun 17, 2020","24.24","24.06","24.25","24.06","-","1.15%"
"Jun 16, 2020","23.96","23.88","24.25","23.88","1.75K","3.99%"
"Jun 15, 2020","23.04","22.93","23.04","22.88","0.53K","-5.20%"
"Jun 12, 2020","24.31","24.05","24.36","23.97","0.91K","0.04%"
"Jun 11, 2020","24.30","24.74","24.74","24.30","0.16K","-2.88%"
"Jun 10, 2020","25.01","25.15","25.15","25.01","1.48K","0.77%"
"Jun 09, 2020","24.83","25.14","25.14","24.77","0.01K","-1.29%"
"Jun 08, 2020","25.15","24.85","25.17","24.85","89.69K","-0.44%"
"Jun 05, 2020","25.26","24.57","25.26","24.57","8.77K","4.12%"
"Jun 04, 2020","24.26","24.43","24.45","24.20","0.17K","-1.78%"
"Jun 03, 2020","24.70","24.37","24.70","24.37","-","3.59%"
"Jun 02, 2020","23.84","23.59","23.95","23.59","1.62K","5.51%"
"May 29, 2020","22.60","22.70","22.70","22.60","0.58K","-0.72%"
"May 28, 2020","22.76","22.87","22.87","22.72","0.04K","-0.09%"
"May 27, 2020","22.78","22.95","23.00","22.78","-","-0.74%"
"May 26, 2020","22.95","23.00","23.00","22.90","-","1.01%"
"May 25, 2020","22.73","22.58","22.76","22.50","0.15K","2.27%"
"May 22, 2020","22.22","22.22","22.29","22.22","0.29K","-1.40%"
"May 21, 2020","22.53","22.73","22.73","22.53","-","-1.44%"
"May 20, 2020","22.86","22.65","22.86","22.65","0.29K","0.57%"
"May 19, 2020","22.74","22.69","22.74","22.56","-","0.66%"
"May 18, 2020","22.58","22.25","22.58","22.25","0.23K","3.43%"
"May 15, 2020","21.83","22.26","22.26","21.83","0.25K","-0.73%"
"May 14, 2020","22.00","22.07","22.07","22.00","-","-0.99%"
"May 13, 2020","22.22","22.32","22.36","22.22","0.45K","-0.67%"
"May 12, 2020","22.36","22.26","22.36","22.25","0.85K","0.74%"
"May 11, 2020","22.20","22.58","22.58","22.13","0.64K","-2.25%"
"May 08, 2020","22.71","22.50","22.71","22.47","0.15K","1.41%"
"May 07, 2020","22.40","22.27","22.40","22.27","-","1.70%"
"May 06, 2020","22.02","22.39","22.39","22.02","1.27K","-0.94%"
"May 05, 2020","22.23","22.15","22.23","22.06","0.17K","2.51%"
"May 04, 2020","21.68","22.14","22.14","21.68","0.16K","-4.81%"
