"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","25.493","25.134","25.558","25.134","272.21K","1.59%"
"Sep 29, 2020","25.094","25.105","25.147","25.034","158.33K","-0.54%"
"Sep 28, 2020","25.231","25.227","25.326","25.199","200.57K","1.39%"
"Sep 25, 2020","24.885","24.883","24.918","24.710","112.04K","-0.23%"
"Sep 24, 2020","24.943","24.842","24.943","24.690","102.98K","-1.12%"
"Sep 23, 2020","25.225","25.362","25.465","25.225","101.28K","-0.02%"
"Sep 22, 2020","25.230","25.266","25.402","25.201","148.64K","0.07%"
"Sep 21, 2020","25.212","25.518","25.518","25.140","257.66K","-1.73%"
"Sep 18, 2020","25.656","25.854","25.923","25.656","74.01K","-0.38%"
"Sep 17, 2020","25.753","25.744","25.830","25.610","69.37K","-0.97%"
"Sep 16, 2020","26.006","25.930","26.013","25.897","119.27K","0.37%"
"Sep 15, 2020","25.911","25.722","25.913","25.675","193.11K","1.49%"
"Sep 14, 2020","25.531","25.633","25.643","25.435","171.06K","0.96%"
"Sep 11, 2020","25.289","25.364","25.409","25.250","99.05K","0.29%"
"Sep 10, 2020","25.215","25.335","25.356","25.144","104.41K","-0.66%"
"Sep 09, 2020","25.382","25.179","25.395","25.133","191.74K","0.63%"
"Sep 08, 2020","25.224","25.465","25.526","25.075","251.82K","-0.80%"
"Sep 07, 2020","25.428","25.318","25.428","25.261","341.63K","0.65%"
"Sep 04, 2020","25.264","25.394","25.663","25.151","343.18K","-0.46%"
"Sep 03, 2020","25.382","25.969","25.973","25.326","170.01K","-1.55%"
"Sep 02, 2020","25.781","25.855","26.024","25.756","289.93K","0.59%"
"Sep 01, 2020","25.629","25.502","25.705","25.400","330.95K","1.67%"
"Aug 31, 2020","25.207","25.714","25.717","25.117","359.89K","-2.46%"
"Aug 28, 2020","25.844","25.898","25.900","25.669","203.17K","0.00%"
"Aug 27, 2020","25.843","25.907","25.959","25.800","142.19K","-0.41%"
"Aug 26, 2020","25.949","25.884","26.008","25.862","126.23K","0.53%"
"Aug 25, 2020","25.812","25.879","25.885","25.665","185.71K","0.71%"
"Aug 24, 2020","25.631","25.706","25.779","25.611","164.48K","0.83%"
"Aug 21, 2020","25.420","25.290","25.470","25.230","140.88K","1.83%"
"Aug 20, 2020","24.964","24.983","25.068","24.888","180.47K","-1.64%"
"Aug 19, 2020","25.381","25.277","25.381","25.199","159.76K","0.24%"
"Aug 18, 2020","25.320","25.328","25.470","25.250","276.44K","-0.80%"
"Aug 17, 2020","25.525","25.501","25.528","25.373","248.09K","0.60%"
"Aug 14, 2020","25.373","25.433","25.465","25.238","294.42K","-0.17%"
"Aug 13, 2020","25.415","25.405","25.469","25.320","350.38K","-0.65%"
"Aug 12, 2020","25.580","25.471","25.580","25.431","128.11K","0.40%"
"Aug 11, 2020","25.478","25.471","25.547","25.411","396.80K","0.91%"
"Aug 10, 2020","25.248","25.276","25.393","25.163","180.07K","-0.33%"
"Aug 07, 2020","25.331","25.217","25.347","25.172","180.15K","-0.34%"
"Aug 06, 2020","25.418","25.452","25.561","25.358","106.48K","-0.30%"
"Aug 05, 2020","25.495","25.494","25.541","25.370","278.36K","0.91%"
"Aug 04, 2020","25.264","25.365","25.401","25.230","212.95K","0.49%"
"Aug 03, 2020","25.142","25.042","25.242","24.918","155.89K","1.46%"
"Jul 31, 2020","24.779","24.885","24.975","24.715","484.12K","-0.41%"
"Jul 30, 2020","24.881","25.185","25.185","24.795","239.77K","-1.35%"
"Jul 29, 2020","25.222","25.216","25.279","25.189","105.27K","0.37%"
"Jul 28, 2020","25.130","25.179","25.260","25.050","268.10K","0.52%"
"Jul 27, 2020","24.999","24.930","25.087","24.868","301.92K","0.14%"
"Jul 24, 2020","24.964","24.810","25.021","24.737","213.60K","-1.58%"
"Jul 23, 2020","25.366","25.488","25.541","25.334","153.53K","-0.01%"
"Jul 22, 2020","25.368","25.713","25.739","25.278","163.80K","-1.67%"
"Jul 21, 2020","25.798","25.860","26.041","25.792","351.19K","1.23%"
"Jul 20, 2020","25.485","25.165","25.485","25.130","231.41K","1.03%"
"Jul 17, 2020","25.226","25.257","25.299","25.132","202.85K","0.58%"
"Jul 16, 2020","25.081","24.997","25.100","24.869","198.81K","-1.43%"
"Jul 15, 2020","25.444","25.446","25.598","25.380","339.84K","0.41%"
"Jul 14, 2020","25.341","25.424","25.424","25.072","385.31K","-2.47%"
"Jul 13, 2020","25.984","25.953","25.991","25.851","383.35K","1.13%"
"Jul 10, 2020","25.694","25.693","25.806","25.623","253.34K","-0.42%"
"Jul 09, 2020","25.802","25.925","26.100","25.758","234.67K","0.68%"
