"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","142.14","142.29","142.29","142.14","-","-0.10%"
"Sep 29, 2020","142.28","142.24","142.32","142.23","0.74K","0.06%"
"Sep 28, 2020","142.20","142.18","142.20","142.16","0.08K","-0.01%"
"Sep 25, 2020","142.22","142.16","142.22","142.16","-","0.01%"
"Sep 24, 2020","142.20","142.21","142.21","142.15","-","0.06%"
"Sep 23, 2020","142.12","142.21","142.21","142.12","-","-0.04%"
"Sep 22, 2020","142.17","142.17","142.17","142.14","-","-0.03%"
"Sep 21, 2020","142.21","142.15","142.21","142.15","0.00K","0.06%"
"Sep 18, 2020","142.12","142.10","142.17","142.10","-","-0.04%"
"Sep 17, 2020","142.17","142.14","142.17","142.14","-","0.03%"
"Sep 16, 2020","142.13","142.26","142.26","142.13","0.04K","0.00%"
"Sep 15, 2020","142.13","142.17","142.17","142.12","-","-0.04%"
"Sep 14, 2020","142.19","142.23","142.30","142.19","0.49K","0.01%"
"Sep 11, 2020","142.18","142.12","142.18","142.09","0.19K","0.15%"
"Sep 10, 2020","141.96","142.05","142.05","141.96","-","-0.07%"
"Sep 09, 2020","142.06","142.13","142.13","142.00","0.08K","-0.01%"
"Sep 08, 2020","142.08","141.97","142.08","141.97","-","0.10%"
"Sep 07, 2020","141.94","142.02","142.02","141.94","0.03K","-0.08%"
"Sep 04, 2020","142.05","142.23","142.27","142.05","0.03K","-0.18%"
"Sep 03, 2020","142.31","142.13","142.31","142.13","-","0.09%"
"Sep 02, 2020","142.18","142.12","142.22","142.09","0.09K","0.06%"
"Sep 01, 2020","142.09","142.02","142.09","142.02","0.00K","0.02%"
"Aug 31, 2020","142.06","141.98","142.06","141.98","-","0.01%"
"Aug 28, 2020","142.05","141.84","142.05","141.79","0.09K","0.16%"
"Aug 27, 2020","141.82","141.96","141.96","141.82","-","0.03%"
"Aug 26, 2020","141.78","141.77","141.78","141.77","-","-0.01%"
"Aug 25, 2020","141.79","141.96","141.96","141.79","-","-0.17%"
"Aug 24, 2020","142.03","142.07","142.07","142.02","0.01K","-0.05%"
"Aug 21, 2020","142.10","142.05","142.10","142.05","-","-0.01%"
"Aug 20, 2020","142.11","142.13","142.14","142.05","0.09K","0.07%"
"Aug 19, 2020","142.01","142.02","142.11","141.98","0.04K","0.01%"
"Aug 18, 2020","142.00","142.02","142.02","141.90","0.39K","0.01%"
"Aug 17, 2020","141.98","141.93","142.00","141.93","0.03K","0.07%"
"Aug 14, 2020","141.88","141.80","141.90","141.80","0.00K","0.01%"
"Aug 13, 2020","141.87","141.87","141.95","141.87","0.40K","0.05%"
"Aug 12, 2020","141.80","141.87","141.87","141.80","0.02K","-0.08%"
"Aug 11, 2020","141.91","142.32","142.32","141.91","0.12K","-0.27%"
"Aug 10, 2020","142.29","142.27","142.33","142.18","0.00K","-0.01%"
"Aug 07, 2020","142.30","142.45","142.45","142.30","0.00K","-0.12%"
"Aug 06, 2020","142.47","142.38","142.48","142.38","-","0.07%"
"Aug 05, 2020","142.37","142.43","142.49","142.36","0.02K","-0.08%"
"Aug 04, 2020","142.48","142.33","142.48","142.33","-","0.10%"
"Aug 03, 2020","142.34","142.37","142.42","142.34","0.44K","0.01%"
"Jul 31, 2020","142.33","142.35","142.42","142.32","0.03K","0.07%"
"Jul 30, 2020","142.23","142.18","142.23","142.18","-","0.10%"
"Jul 29, 2020","142.09","142.08","142.14","142.03","0.00K","0.06%"
"Jul 28, 2020","142.00","141.94","142.00","141.94","-","-0.01%"
"Jul 27, 2020","142.02","142.06","142.12","141.98","0.60K","0.01%"
"Jul 24, 2020","142.01","142.07","142.07","141.98","0.01K","-0.01%"
"Jul 23, 2020","142.03","142.00","142.03","142.00","-","-0.01%"
"Jul 22, 2020","142.04","142.02","142.13","141.99","0.05K","0.02%"
"Jul 21, 2020","142.01","141.93","142.02","141.87","0.06K","0.07%"
"Jul 20, 2020","141.91","142.06","142.06","141.91","1.70K","-0.02%"
"Jul 17, 2020","141.94","142.01","142.06","141.94","0.10K","-0.04%"
"Jul 16, 2020","141.99","141.93","141.99","141.91","-","0.07%"
"Jul 15, 2020","141.89","141.78","141.92","141.78","0.12K","-0.04%"
"Jul 14, 2020","141.95","141.87","141.95","141.87","-","0.14%"
"Jul 13, 2020","141.74","141.80","141.80","141.66","0.16K","-0.12%"
"Jul 10, 2020","141.91","142.00","142.00","141.91","0.01K","-0.01%"
"Jul 09, 2020","141.93","141.81","141.93","141.81","0.02K","0.09%"
"Jul 08, 2020","141.80","141.81","141.81","141.68","0.00K","0.07%"
"Jul 07, 2020","141.70","141.79","141.79","141.70","-","0.02%"
"Jul 06, 2020","141.67","141.70","141.70","141.64","0.44K","-0.12%"
"Jul 03, 2020","141.84","141.81","141.84","141.81","-","0.08%"
"Jul 02, 2020","141.73","141.72","141.73","141.68","-","0.00%"
"Jul 01, 2020","141.73","141.78","141.79","141.73","0.48K","-0.11%"
"Jun 30, 2020","141.88","141.96","141.96","141.88","0.64K","0.01%"
"Jun 29, 2020","141.86","141.76","141.86","141.76","-","0.07%"
"Jun 26, 2020","141.76","141.61","141.76","141.61","-","0.10%"
"Jun 25, 2020","141.62","141.63","141.67","141.62","-","0.07%"
"Jun 24, 2020","141.52","141.48","141.57","141.46","0.08K","0.01%"
"Jun 23, 2020","141.50","141.53","141.53","141.42","0.07K","-0.04%"
"Jun 22, 2020","141.56","141.43","141.58","141.43","0.06K","0.05%"
"Jun 19, 2020","141.49","141.46","141.49","141.32","0.07K","-0.02%"
"Jun 18, 2020","141.52","141.48","141.52","141.47","-","0.07%"
"Jun 17, 2020","141.42","141.43","141.43","141.37","0.02K","0.04%"
"Jun 16, 2020","141.36","141.43","141.43","141.36","-","-0.11%"
"Jun 15, 2020","141.52","141.67","141.67","141.52","-","0.01%"
"Jun 12, 2020","141.50","141.64","141.64","141.43","0.09K","-0.07%"
"Jun 11, 2020","141.60","141.56","141.75","141.55","5.72K","0.27%"
"Jun 10, 2020","141.22","141.05","141.22","141.05","0.41K","0.21%"
"Jun 09, 2020","140.93","140.82","140.96","140.82","0.04K","0.11%"
"Jun 08, 2020","140.78","140.49","140.88","140.48","0.19K","0.23%"
"Jun 05, 2020","140.46","140.98","140.98","140.40","0.05K","-0.40%"
"Jun 04, 2020","141.03","141.19","141.21","141.03","-","-0.07%"
"Jun 03, 2020","141.13","141.38","141.46","141.13","19.74K","-0.31%"
"Jun 02, 2020","141.57","141.76","141.76","141.54","0.23K","0.01%"
"May 29, 2020","141.56","141.67","141.67","141.51","0.14K","0.10%"
"May 28, 2020","141.42","141.49","141.49","141.42","0.15K","-0.06%"
"May 27, 2020","141.50","141.51","141.51","141.24","0.17K","0.13%"
"May 26, 2020","141.31","141.28","141.40","141.28","0.04K","-0.12%"
"May 25, 2020","141.48","141.47","141.58","141.46","0.02K","-0.01%"
"May 22, 2020","141.50","141.58","141.58","141.50","0.02K","0.01%"
"May 21, 2020","141.49","141.57","141.57","141.46","0.04K","0.08%"
"May 20, 2020","141.37","141.45","141.45","141.34","0.80K","0.05%"
"May 19, 2020","141.30","141.15","141.32","141.15","0.23K","-0.01%"
"May 18, 2020","141.32","141.70","141.70","141.26","0.05K","-0.17%"
"May 15, 2020","141.56","141.63","141.77","141.56","0.07K","-0.06%"
"May 14, 2020","141.64","141.60","141.71","141.60","0.03K","0.04%"
"May 13, 2020","141.58","141.43","141.66","141.43","0.44K","0.23%"
"May 12, 2020","141.26","141.32","141.32","141.20","0.10K","-0.03%"
