"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","147.94","149.50","149.50","147.42","22.52K","-0.05%"
"Sep 29, 2020","148.02","147.00","148.26","146.70","15.50K","1.38%"
"Sep 28, 2020","146.00","144.44","146.40","144.44","13.93K","1.67%"
"Sep 25, 2020","143.60","145.00","145.00","142.80","38.55K","0.06%"
"Sep 24, 2020","143.52","144.00","144.30","143.26","14.00K","-1.23%"
"Sep 23, 2020","145.30","145.64","145.64","142.88","3.69K","0.76%"
"Sep 22, 2020","144.20","146.00","146.00","143.20","34.62K","0.28%"
"Sep 21, 2020","143.80","145.90","145.90","143.26","15.81K","-1.52%"
"Sep 18, 2020","146.02","146.40","146.40","145.78","18.68K","0.05%"
"Sep 17, 2020","145.94","146.40","146.40","144.54","19.48K","0.30%"
"Sep 16, 2020","145.50","145.30","146.04","145.30","36.59K","0.21%"
"Sep 15, 2020","145.20","145.20","145.20","143.70","14.10K","1.18%"
"Sep 14, 2020","143.50","145.10","145.20","143.12","33.02K","0.10%"
"Sep 11, 2020","143.36","144.52","144.52","143.36","30.96K","-0.64%"
"Sep 10, 2020","144.28","145.30","145.30","143.20","10.78K","-0.29%"
"Sep 09, 2020","144.70","141.00","144.70","141.00","45.74K","2.51%"
"Sep 08, 2020","141.16","145.30","145.30","139.80","72.99K","-1.70%"
"Sep 07, 2020","143.60","145.26","145.26","142.00","21.38K","2.05%"
"Sep 04, 2020","140.72","144.50","144.50","139.70","37.27K","-2.62%"
"Sep 03, 2020","144.50","146.60","147.32","144.50","22.87K","-0.58%"
"Sep 02, 2020","145.34","146.00","146.00","144.20","13.04K","0.86%"
"Sep 01, 2020","144.10","146.50","146.50","144.00","18.00K","-0.48%"
"Aug 31, 2020","144.80","146.00","146.00","144.10","15.83K","0.56%"
"Aug 28, 2020","144.00","146.22","146.22","143.54","15.25K","-0.84%"
"Aug 27, 2020","145.22","146.10","146.36","144.80","16.23K","-0.40%"
"Aug 26, 2020","145.80","146.00","146.00","144.26","6.86K","0.55%"
"Aug 25, 2020","145.00","145.04","145.34","144.50","54.82K","0.25%"
"Aug 24, 2020","144.64","145.00","146.00","144.64","35.97K","0.61%"
"Aug 21, 2020","143.76","143.90","144.32","142.88","6.33K","0.70%"
"Aug 20, 2020","142.76","144.00","144.00","142.76","19.66K","-0.70%"
"Aug 19, 2020","143.76","142.92","144.16","142.34","18.96K","1.05%"
"Aug 18, 2020","142.26","148.44","148.44","141.74","43.29K","-1.48%"
"Aug 17, 2020","144.40","142.00","144.42","142.00","54.64K","0.75%"
"Aug 14, 2020","143.32","146.60","146.60","143.28","23.60K","-1.23%"
"Aug 13, 2020","145.10","144.62","145.10","143.12","18.67K","0.61%"
"Aug 12, 2020","144.22","145.00","145.00","140.80","12.22K","0.21%"
"Aug 11, 2020","143.92","141.98","144.02","141.92","20.27K","2.14%"
"Aug 10, 2020","140.90","141.74","141.84","140.60","28.24K","-0.42%"
"Aug 07, 2020","141.50","141.02","141.80","140.72","16.57K","0.94%"
"Aug 06, 2020","140.18","141.34","141.68","140.00","10.87K","-0.38%"
"Aug 05, 2020","140.72","141.10","141.50","140.30","10.34K","0.36%"
"Aug 04, 2020","140.22","142.24","142.76","139.50","11.04K","-1.09%"
"Aug 03, 2020","141.76","140.00","142.22","138.86","13.19K","1.53%"
"Jul 31, 2020","139.62","141.36","142.04","139.62","5.11K","-0.27%"
"Jul 30, 2020","140.00","141.36","142.00","139.82","21.03K","-0.93%"
"Jul 29, 2020","141.32","141.68","141.92","140.98","11.56K","-0.04%"
"Jul 28, 2020","141.38","141.80","142.04","141.02","10.96K","-0.30%"
"Jul 27, 2020","141.80","140.88","141.92","140.60","16.81K","0.57%"
"Jul 24, 2020","141.00","143.38","143.38","140.54","35.81K","-1.70%"
"Jul 23, 2020","143.44","143.88","148.30","143.44","60.41K","-0.07%"
"Jul 22, 2020","143.54","144.44","144.44","142.80","41.90K","-0.51%"
"Jul 21, 2020","144.28","143.94","144.90","143.94","20.92K","0.53%"
"Jul 20, 2020","143.52","141.84","143.66","141.68","25.94K","1.43%"
"Jul 17, 2020","141.50","145.00","145.00","140.92","59.15K","0.86%"
"Jul 16, 2020","140.30","140.50","140.56","139.30","18.07K","-0.14%"
"Jul 15, 2020","140.50","139.42","140.80","138.54","22.28K","2.29%"
"Jul 14, 2020","137.36","138.70","138.74","137.36","31.50K","-1.18%"
"Jul 13, 2020","139.00","138.00","139.00","137.90","8.56K","1.12%"
"Jul 10, 2020","137.46","137.00","138.28","137.00","10.90K","-0.25%"
"Jul 09, 2020","137.80","136.00","141.32","136.00","21.15K","0.94%"
"Jul 08, 2020","136.52","138.50","138.50","135.78","29.22K","0.50%"
"Jul 07, 2020","135.84","139.56","139.56","134.64","18.95K","-0.22%"
"Jul 06, 2020","136.14","136.00","136.14","135.08","24.37K","0.78%"
"Jul 03, 2020","135.08","135.00","136.00","134.76","14.54K","0.31%"
"Jul 02, 2020","134.66","134.88","134.88","133.46","11.01K","1.34%"
"Jul 01, 2020","132.88","131.52","133.24","131.52","49.83K","0.74%"
"Jun 30, 2020","131.90","131.60","132.20","131.40","14.35K","0.41%"
"Jun 29, 2020","131.36","131.10","132.00","130.98","4.40K","-0.26%"
"Jun 26, 2020","131.70","132.00","133.10","131.70","14.19K","-0.23%"
"Jun 25, 2020","132.00","131.90","132.80","130.56","14.55K","-0.23%"
"Jun 24, 2020","132.30","134.54","134.60","132.24","23.46K","-2.00%"
"Jun 23, 2020","135.00","134.42","135.02","134.04","25.53K","1.96%"
"Jun 22, 2020","132.40","131.02","133.74","131.02","12.55K","-0.45%"
"Jun 19, 2020","133.00","132.32","133.86","132.32","9.02K","1.00%"
"Jun 18, 2020","131.68","132.50","132.64","131.68","17.56K","-0.62%"
"Jun 17, 2020","132.50","132.50","132.50","131.22","14.32K","0.98%"
"Jun 16, 2020","131.22","131.00","132.00","130.28","51.47K","2.21%"
"Jun 15, 2020","128.38","123.00","129.32","123.00","35.83K","-0.70%"
"Jun 12, 2020","129.28","126.18","130.22","114.00","166.78K","-0.12%"
"Jun 11, 2020","129.44","131.02","131.02","129.14","14.68K","-1.49%"
"Jun 10, 2020","131.40","130.00","132.00","130.00","25.15K","1.08%"
"Jun 09, 2020","130.00","132.00","132.00","129.88","12.79K","-0.31%"
"Jun 08, 2020","130.40","132.50","133.00","129.36","43.70K","-0.28%"
"Jun 04, 2020","130.76","131.10","131.46","130.44","10.21K","-0.20%"
"Jun 03, 2020","131.02","130.70","131.14","129.50","26.65K","0.66%"
"Jun 02, 2020","130.16","130.90","130.90","129.00","32.09K","0.15%"
"May 29, 2020","129.96","129.82","130.88","128.88","21.92K","0.11%"
"May 28, 2020","129.82","129.42","129.82","127.70","38.05K","2.92%"
"May 27, 2020","126.14","129.98","129.98","126.10","25.60K","-2.67%"
"May 26, 2020","129.60","130.00","130.66","129.12","58.97K","0.02%"
"May 25, 2020","129.58","127.50","129.98","127.40","16.60K","2.02%"
"May 20, 2020","127.02","126.00","127.06","125.22","34.65K","1.44%"
"May 19, 2020","125.22","124.90","125.80","124.74","34.87K","0.48%"
"May 18, 2020","124.62","123.40","124.68","122.86","18.37K","2.35%"
"May 15, 2020","121.76","122.48","122.60","121.32","23.31K","1.03%"
"May 14, 2020","120.52","122.70","122.70","120.52","16.65K","-1.81%"
"May 13, 2020","122.74","123.00","123.00","121.00","53.09K","-0.29%"
"May 12, 2020","123.10","124.00","124.00","122.88","35.78K","0.23%"
"May 11, 2020","122.82","124.00","124.00","122.00","64.04K","1.30%"
"May 07, 2020","121.24","120.98","121.78","120.38","16.37K","1.56%"
"May 06, 2020","119.38","120.86","121.00","119.38","16.76K","0.15%"
"May 05, 2020","119.20","118.00","120.10","118.00","22.84K","0.91%"
"May 04, 2020","118.12","117.88","118.60","117.34","41.44K","-1.27%"
"May 01, 2020","119.64","121.00","121.00","118.34","40.44K","-1.12%"
"Apr 30, 2020","121.00","123.94","123.94","120.50","55.72K","0.25%"
"Apr 29, 2020","120.70","118.82","121.36","117.00","12.56K","-0.28%"
"Apr 28, 2020","121.04","122.00","122.00","119.68","30.87K","0.95%"
"Apr 27, 2020","119.90","121.00","121.00","119.48","35.98K","0.60%"
"Apr 24, 2020","119.18","119.68","119.68","118.38","25.77K","-0.68%"
"Apr 23, 2020","120.00","118.30","120.00","117.84","44.06K","1.52%"
"Apr 22, 2020","118.20","118.82","118.82","117.74","12.28K","0.32%"
"Apr 21, 2020","117.82","118.00","118.84","117.32","21.21K","-0.81%"
"Apr 20, 2020","118.78","117.46","119.30","117.46","40.48K","1.18%"
"Apr 17, 2020","117.40","116.22","117.76","116.22","245.56K","1.93%"
"Apr 16, 2020","115.18","113.94","115.96","113.94","23.66K","1.27%"
"Apr 15, 2020","113.74","116.76","116.76","113.60","109.97K","-1.27%"
"Apr 14, 2020","115.20","116.74","116.74","113.02","26.75K","2.42%"
"Apr 08, 2020","112.48","113.88","115.60","111.32","35.66K","-0.60%"
"Apr 07, 2020","113.16","113.00","116.00","112.88","57.05K","1.07%"
"Apr 06, 2020","111.96","114.48","117.00","111.00","63.17K","1.43%"
"Apr 03, 2020","110.38","110.00","110.38","108.30","11.92K","1.64%"
"Apr 02, 2020","108.60","112.50","115.44","107.26","44.56K","-0.80%"
"Apr 01, 2020","109.48","110.00","110.00","107.32","24.24K","-0.56%"
"Mar 31, 2020","110.10","110.00","115.00","109.38","135.82K","2.00%"
"Mar 30, 2020","107.94","107.98","111.10","104.00","84.42K","3.31%"
"Mar 27, 2020","104.48","108.00","108.00","104.26","35.41K","-1.19%"
"Mar 26, 2020","105.74","102.58","105.74","100.00","34.10K","2.70%"
"Mar 25, 2020","102.96","106.00","106.00","101.10","78.64K","2.97%"
"Mar 24, 2020","99.99","102.10","102.10","97.00","42.47K","3.92%"
"Mar 23, 2020","96.22","98.00","99.25","94.00","54.27K","-4.13%"
"Mar 20, 2020","100.36","105.00","105.00","100.00","54.42K","0.77%"
"Mar 19, 2020","99.59","98.36","99.65","97.37","44.77K","1.74%"
"Mar 18, 2020","97.89","99.00","103.00","94.87","72.01K","-2.11%"
"Mar 17, 2020","100.00","103.70","106.20","97.28","94.95K","1.29%"
"Mar 16, 2020","98.73","100.00","100.48","93.68","103.22K","-1.74%"
"Mar 13, 2020","100.48","103.66","114.20","100.34","105.72K","0.18%"
"Mar 12, 2020","100.30","102.50","105.00","100.10","129.96K","-7.66%"
"Mar 11, 2020","108.62","112.54","114.20","108.54","20.61K","-2.55%"
"Mar 10, 2020","111.46","112.74","116.10","111.00","52.45K","-0.82%"
"Mar 09, 2020","112.38","114.98","115.30","111.00","90.16K","-5.91%"
"Mar 06, 2020","119.44","122.00","122.00","118.00","24.44K","-2.63%"
"Mar 05, 2020","122.66","125.00","125.64","122.02","54.94K","-0.54%"
"Mar 04, 2020","123.32","123.04","124.54","122.30","17.03K","0.41%"
"Mar 03, 2020","122.82","122.80","123.52","120.74","121.70K","2.61%"
"Mar 02, 2020","119.70","125.00","125.00","117.86","189.90K","1.49%"
"Feb 28, 2020","117.94","119.50","120.00","116.66","91.31K","-2.74%"
"Feb 27, 2020","121.26","124.50","124.50","120.04","121.67K","-2.99%"
"Feb 26, 2020","125.00","124.50","125.16","118.00","116.16K","0.35%"
"Feb 25, 2020","124.56","130.40","130.40","124.08","89.44K","-2.11%"
"Feb 24, 2020","127.24","130.00","130.00","126.50","50.94K","-3.61%"
"Feb 21, 2020","132.00","136.68","136.68","132.00","125.01K","-1.09%"
"Feb 20, 2020","133.46","133.00","134.78","133.00","33.99K","-0.06%"
"Feb 19, 2020","133.54","134.86","134.86","132.64","47.98K","1.09%"
"Feb 18, 2020","132.10","131.40","132.38","130.08","15.58K","0.50%"
"Feb 17, 2020","131.44","133.96","133.96","130.78","8.91K","0.24%"
"Feb 14, 2020","131.12","133.88","133.88","130.96","42.28K","0.78%"
"Feb 13, 2020","130.10","134.12","134.12","130.00","20.08K","-0.55%"
"Feb 12, 2020","130.82","130.82","131.04","130.16","117.50K","-0.24%"
"Feb 11, 2020","131.14","129.30","131.14","129.30","17.81K","1.60%"
"Feb 10, 2020","129.08","130.00","130.00","128.78","11.36K","-0.60%"
"Feb 07, 2020","129.86","130.00","130.48","129.56","81.03K","0.28%"
"Feb 06, 2020","129.50","132.20","132.20","128.52","43.65K","0.31%"
"Feb 05, 2020","129.10","125.90","129.20","125.90","31.21K","2.54%"
"Feb 04, 2020","125.90","126.72","126.72","122.00","25.10K","1.40%"
"Feb 03, 2020","124.16","124.50","125.00","123.38","19.22K","0.13%"
"Jan 31, 2020","124.00","127.04","127.04","124.00","16.67K","0.00%"
"Jan 30, 2020","124.00","130.00","130.00","123.86","15.90K","-1.13%"
"Jan 29, 2020","125.42","127.06","127.06","124.50","90.79K","1.16%"
"Jan 28, 2020","123.98","123.62","123.98","122.30","332.37K","0.71%"
"Jan 27, 2020","123.10","125.00","125.00","123.10","17.78K","-2.33%"
"Jan 24, 2020","126.04","124.00","126.32","124.00","72.69K","0.85%"
"Jan 23, 2020","124.98","125.80","125.80","124.72","34.48K","-0.57%"
"Jan 22, 2020","125.70","126.50","126.50","124.88","6.97K","0.88%"
"Jan 21, 2020","124.60","124.74","124.74","123.56","22.60K","-0.64%"
"Jan 20, 2020","125.40","127.78","127.78","124.32","5.84K","0.64%"
"Jan 17, 2020","124.60","126.44","126.44","124.36","18.48K","0.97%"
"Jan 16, 2020","123.40","123.50","124.02","123.40","35.47K","0.00%"
"Jan 15, 2020","123.40","121.24","123.40","121.24","15.10K","1.98%"
"Jan 14, 2020","121.00","121.20","121.60","120.60","5.63K","0.03%"
"Jan 13, 2020","120.96","122.00","122.00","120.96","31.06K","0.00%"
"Jan 10, 2020","120.96","122.50","122.50","120.60","33.62K","-0.03%"
"Jan 09, 2020","121.00","122.00","122.00","120.56","38.70K","0.55%"
