"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","19.53","19.45","19.58","19.41","53.51K","-0.52%"
"Sep 29, 2020","19.63","19.70","19.76","19.63","237.94K","-0.40%"
"Sep 28, 2020","19.71","19.71","19.76","19.62","109.77K","1.28%"
"Sep 25, 2020","19.46","19.46","19.47","19.34","87.09K","0.08%"
"Sep 24, 2020","19.44","19.44","19.47","19.37","19.57K","-0.56%"
"Sep 23, 2020","19.55","19.56","19.65","19.54","216.59K","1.91%"
"Sep 22, 2020","19.19","19.16","19.25","19.15","134.68K","0.73%"
"Sep 21, 2020","19.05","19.33","19.33","19.04","129.04K","-1.84%"
"Sep 18, 2020","19.41","19.39","19.50","19.39","174.11K","-0.31%"
"Sep 17, 2020","19.47","19.45","19.52","19.42","196.80K","-0.29%"
"Sep 16, 2020","19.52","19.42","19.53","19.42","190.58K","0.68%"
"Sep 15, 2020","19.39","19.29","19.40","19.25","25.68K","0.41%"
"Sep 14, 2020","19.31","19.39","19.39","19.27","129.28K","0.65%"
"Sep 11, 2020","19.19","19.19","19.23","19.13","45.35K","1.06%"
"Sep 10, 2020","18.98","19.11","19.14","18.95","58.02K","-0.35%"
"Sep 09, 2020","19.05","19.05","19.09","19.02","60.41K","0.11%"
"Sep 08, 2020","19.03","19.11","19.12","18.97","171.35K","-0.09%"
"Sep 07, 2020","19.05","18.96","19.07","18.96","51.43K","0.73%"
"Sep 04, 2020","18.91","18.97","19.12","18.80","262.59K","-0.49%"
"Sep 03, 2020","19.00","19.37","19.38","18.93","216.74K","-0.99%"
"Sep 02, 2020","19.19","19.06","19.21","19.06","117.53K","1.77%"
"Sep 01, 2020","18.86","18.89","18.91","18.75","72.90K","0.22%"
"Aug 31, 2020","18.82","19.04","19.08","18.82","70.82K","0.00%"
"Aug 28, 2020","18.82","18.74","18.87","18.63","155.09K","-1.45%"
"Aug 27, 2020","19.10","19.10","19.15","19.06","158.66K","-0.44%"
"Aug 26, 2020","19.18","19.05","19.18","19.05","59.83K","0.45%"
"Aug 25, 2020","19.09","19.24","19.26","19.07","44.49K","0.19%"
"Aug 24, 2020","19.06","19.04","19.08","19.00","138.48K","0.94%"
"Aug 21, 2020","18.88","18.87","18.96","18.83","43.68K","-0.05%"
"Aug 20, 2020","18.89","18.81","18.91","18.79","73.82K","-0.78%"
"Aug 19, 2020","19.04","18.94","19.04","18.94","23.13K","0.70%"
"Aug 18, 2020","18.91","18.94","19.03","18.87","74.35K","-0.46%"
"Aug 17, 2020","18.99","18.94","19.00","18.90","41.30K","0.08%"
"Aug 14, 2020","18.98","19.01","19.01","18.89","33.10K","-0.06%"
"Aug 13, 2020","18.99","19.01","19.06","18.93","140.35K","-0.06%"
"Aug 12, 2020","19.00","18.91","19.01","18.89","56.65K","0.97%"
"Aug 11, 2020","18.82","18.83","18.93","18.80","53.11K","1.28%"
"Aug 10, 2020","18.58","18.58","18.62","18.54","35.04K","0.36%"
"Aug 07, 2020","18.52","18.43","18.53","18.40","24.06K","0.41%"
"Aug 06, 2020","18.44","18.46","18.52","18.39","21.55K","-0.69%"
"Aug 05, 2020","18.57","18.64","18.68","18.56","57.18K","-0.41%"
"Aug 04, 2020","18.64","18.71","18.71","18.54","29.97K","0.65%"
"Aug 03, 2020","18.52","18.29","18.53","18.27","50.75K","2.51%"
"Jul 31, 2020","18.07","18.15","18.25","18.02","37.28K","-2.12%"
"Jul 30, 2020","18.46","18.60","18.60","18.30","80.20K","-1.62%"
"Jul 29, 2020","18.77","18.76","18.80","18.73","12.30K","-0.86%"
"Jul 28, 2020","18.93","18.87","18.93","18.84","44.84K","0.23%"
"Jul 27, 2020","18.88","18.94","19.00","18.88","93.11K","0.69%"
"Jul 24, 2020","18.75","18.70","18.81","18.65","37.30K","-0.96%"
"Jul 23, 2020","18.94","18.98","19.03","18.88","31.43K","0.03%"
"Jul 22, 2020","18.93","19.06","19.09","18.88","133.38K","-1.34%"
"Jul 21, 2020","19.19","19.20","19.30","19.17","44.33K","0.21%"
"Jul 20, 2020","19.15","19.02","19.19","18.99","59.23K","0.00%"
"Jul 17, 2020","19.14","19.18","19.20","19.10","80.85K","-0.27%"
"Jul 16, 2020","19.20","19.24","19.26","19.19","97.10K","-1.29%"
"Jul 15, 2020","19.45","19.36","19.49","19.31","216.26K","1.62%"
"Jul 14, 2020","19.14","19.19","19.19","19.05","92.13K","-1.15%"
"Jul 13, 2020","19.36","19.37","19.40","19.29","95.75K","0.72%"
"Jul 10, 2020","19.22","19.10","19.22","19.10","135.27K","0.96%"
"Jul 09, 2020","19.04","19.09","19.16","19.00","116.84K","0.26%"
"Jul 08, 2020","18.99","19.19","19.19","18.96","151.68K","-0.99%"
"Jul 07, 2020","19.18","19.16","19.21","19.11","130.65K","-0.36%"
"Jul 06, 2020","19.25","19.27","19.33","19.19","488.65K","1.52%"
"Jul 03, 2020","18.96","19.09","19.09","18.94","196.41K","-0.70%"
"Jul 02, 2020","19.09","18.91","19.11","18.91","124.72K","1.11%"
"Jul 01, 2020","18.88","18.91","18.98","18.85","36.68K","-0.79%"
"Jun 30, 2020","19.03","19.07","19.07","18.97","26.71K","-0.03%"
"Jun 29, 2020","19.04","18.95","19.04","18.85","41.63K","-0.58%"
"Jun 26, 2020","19.15","19.32","19.36","19.15","76.35K","-0.06%"
"Jun 25, 2020","19.16","19.02","19.22","19.02","131.14K","0.94%"
"Jun 24, 2020","18.99","19.22","19.22","18.99","124.30K","-2.14%"
"Jun 23, 2020","19.40","19.34","19.44","19.32","146.14K","0.56%"
"Jun 22, 2020","19.29","19.33","19.38","19.23","209.98K","-1.08%"
"Jun 19, 2020","19.50","19.45","19.54","19.43","172.47K","1.19%"
"Jun 18, 2020","19.27","19.17","19.29","19.16","103.31K","-0.64%"
"Jun 17, 2020","19.40","19.24","19.42","19.24","115.76K","1.66%"
"Jun 16, 2020","19.08","18.94","19.23","18.91","203.70K","3.03%"
"Jun 15, 2020","18.52","18.34","18.56","18.28","281.23K","-2.32%"
"Jun 12, 2020","18.96","18.77","19.03","18.77","227.89K","1.66%"
"Jun 11, 2020","18.65","19.01","19.01","18.65","19.42K","-3.53%"
"Jun 10, 2020","19.33","19.45","19.50","19.28","191.61K","0.74%"
"Jun 09, 2020","19.19","19.54","19.54","19.16","1.93M","-1.11%"
"Jun 08, 2020","19.41","19.26","19.41","19.23","99.80K","0.40%"
"Jun 05, 2020","19.33","18.97","19.34","18.97","133.43K","1.80%"
"Jun 04, 2020","18.99","19.15","19.24","18.95","56.39K","-1.32%"
"Jun 03, 2020","19.24","19.21","19.29","19.17","43.23K","0.38%"
"Jun 02, 2020","19.17","19.20","19.32","19.16","133.05K","2.32%"
"May 29, 2020","18.73","18.87","18.88","18.73","17.88K","-1.53%"
"May 28, 2020","19.03","19.03","19.09","18.97","37.60K","1.46%"
"May 27, 2020","18.75","18.79","18.95","18.65","65.18K","0.88%"
"May 26, 2020","18.59","18.61","18.62","18.52","69.15K","0.88%"
"May 25, 2020","18.43","18.30","18.43","18.28","38.81K","2.09%"
