"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","48.28","48.24","48.59","48.03","91.33K","-0.54%"
"Sep 29, 2020","48.54","48.51","48.69","48.38","58.84K","-0.26%"
"Sep 28, 2020","48.67","47.99","48.75","47.99","46.44K","2.81%"
"Sep 25, 2020","47.33","47.56","47.68","46.79","97.12K","-0.72%"
"Sep 24, 2020","47.68","47.42","47.95","47.40","105.08K","-0.59%"
"Sep 23, 2020","47.97","48.17","48.59","47.97","449.09K","0.60%"
"Sep 22, 2020","47.68","47.97","48.19","47.68","171.16K","0.14%"
"Sep 21, 2020","47.62","49.06","49.06","47.53","98.14K","-4.06%"
"Sep 18, 2020","49.63","50.00","50.19","49.61","35.70K","-0.78%"
"Sep 17, 2020","50.02","49.66","50.13","49.66","39.72K","-0.64%"
"Sep 16, 2020","50.34","50.37","50.48","49.97","28.46K","0.12%"
"Sep 15, 2020","50.28","50.12","50.41","49.94","105.04K","0.44%"
"Sep 14, 2020","50.06","50.39","50.48","49.94","15.48K","0.08%"
"Sep 11, 2020","50.02","49.82","50.22","49.71","87.97K","0.15%"
"Sep 10, 2020","49.94","50.28","50.33","49.81","81.57K","-0.57%"
"Sep 09, 2020","50.23","49.42","50.30","49.42","228.19K","2.07%"
"Sep 08, 2020","49.21","50.01","50.09","48.99","82.84K","-1.60%"
"Sep 07, 2020","50.01","49.48","50.08","49.44","134.48K","1.66%"
"Sep 04, 2020","49.19","49.44","50.17","48.99","151.71K","-1.31%"
"Sep 03, 2020","49.85","50.98","51.25","49.62","170.16K","-1.03%"
"Sep 02, 2020","50.37","49.72","50.65","49.72","137.50K","1.85%"
"Sep 01, 2020","49.46","49.66","49.94","48.97","76.23K","0.06%"
"Aug 31, 2020","49.42","50.35","50.45","49.36","22.06K","-1.17%"
"Aug 28, 2020","50.01","50.28","50.28","49.75","78.35K","-0.44%"
"Aug 27, 2020","50.23","50.56","50.59","50.19","62.18K","-0.79%"
"Aug 26, 2020","50.63","50.01","50.63","50.01","43.05K","0.88%"
"Aug 25, 2020","50.19","50.65","50.88","50.19","113.28K","-0.14%"
"Aug 24, 2020","50.26","49.83","50.30","49.83","74.16K","2.33%"
"Aug 21, 2020","49.12","49.56","49.65","48.68","375.97K","-0.70%"
"Aug 20, 2020","49.46","49.33","49.62","49.13","20.75K","-1.24%"
"Aug 19, 2020","50.08","49.47","50.08","49.40","28.76K","0.97%"
"Aug 18, 2020","49.60","49.51","50.29","49.49","75.59K","-0.52%"
"Aug 17, 2020","49.86","50.01","50.02","49.60","299.25K","0.03%"
"Aug 14, 2020","49.85","50.19","50.19","49.40","114.04K","-1.10%"
"Aug 13, 2020","50.40","50.63","50.80","50.36","52.12K","-0.69%"
"Aug 12, 2020","50.75","50.10","50.92","50.10","28.86K","0.93%"
"Aug 11, 2020","50.28","49.70","50.50","49.63","118.19K","2.23%"
"Aug 10, 2020","49.19","49.15","49.40","48.88","24.23K","0.20%"
"Aug 07, 2020","49.08","48.92","49.08","48.62","107.14K","0.42%"
"Aug 06, 2020","48.88","49.10","49.55","48.60","66.59K","-0.84%"
"Aug 05, 2020","49.29","49.41","49.67","49.20","97.50K","0.48%"
"Aug 04, 2020","49.06","49.40","49.42","48.72","92.65K","0.15%"
"Aug 03, 2020","48.99","48.06","49.22","47.88","99.19K","2.50%"
"Jul 31, 2020","47.79","48.53","48.96","47.79","45.26K","-1.35%"
"Jul 30, 2020","48.44","49.70","49.70","47.90","356.95K","-2.73%"
"Jul 29, 2020","49.81","49.87","49.97","49.70","61.23K","-0.04%"
"Jul 28, 2020","49.83","49.84","50.00","49.48","82.12K","0.08%"
"Jul 27, 2020","49.78","49.93","50.04","49.67","270.98K","-0.24%"
"Jul 24, 2020","49.90","50.06","50.26","49.70","513.43K","-1.80%"
"Jul 23, 2020","50.82","51.12","51.29","50.73","308.56K","0.00%"
"Jul 22, 2020","50.82","51.18","51.33","50.69","370.47K","-1.03%"
"Jul 21, 2020","51.35","51.49","52.03","51.30","424.75K","0.55%"
"Jul 20, 2020","51.07","50.51","51.13","50.25","258.69K","0.65%"
"Jul 17, 2020","50.74","50.81","50.84","50.54","111.08K","0.06%"
"Jul 16, 2020","50.71","50.50","50.87","50.35","38.45K","-0.39%"
"Jul 15, 2020","50.91","50.44","51.18","50.38","104.41K","1.82%"
