"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","11.32","11.32","11.36","11.32","3.63K","0.00%"
"Sep 29, 2020","11.32","11.38","11.40","11.32","7.42K","-0.65%"
"Sep 28, 2020","11.39","11.45","11.46","11.39","13.49K","-0.38%"
"Sep 25, 2020","11.44","11.43","11.45","11.43","20.59K","0.18%"
"Sep 24, 2020","11.42","11.45","11.47","11.42","25.42K","-0.17%"
"Sep 23, 2020","11.44","11.46","11.47","11.43","25.83K","0.15%"
"Sep 22, 2020","11.42","11.44","11.47","11.42","29.76K","-0.11%"
"Sep 21, 2020","11.43","11.37","11.47","11.37","34.82K","0.82%"
"Sep 18, 2020","11.34","11.33","11.39","11.33","49.18K","0.16%"
"Sep 17, 2020","11.32","11.38","11.39","11.32","3.67K","0.11%"
"Sep 16, 2020","11.31","11.26","11.32","11.23","18.46K","0.60%"
"Sep 15, 2020","11.24","11.16","11.24","11.16","8.31K","0.45%"
"Sep 14, 2020","11.19","11.19","11.21","11.16","10.16K","0.00%"
"Sep 11, 2020","11.19","11.17","11.19","11.14","38.87K","0.72%"
"Sep 10, 2020","11.11","11.17","11.19","11.11","11.27K","-0.44%"
"Sep 09, 2020","11.16","11.24","11.25","11.15","17.35K","-0.23%"
"Sep 08, 2020","11.18","11.15","11.23","11.13","10.37K","0.36%"
"Sep 07, 2020","11.14","11.15","11.16","11.14","7.29K","0.00%"
"Sep 04, 2020","11.15","11.15","11.17","11.11","5.31K","-0.47%"
"Sep 03, 2020","11.20","11.19","11.20","11.15","33.33K","0.30%"
"Sep 02, 2020","11.16","11.09","11.18","11.09","5.35K","0.88%"
"Sep 01, 2020","11.07","11.08","11.08","11.04","12.08K","0.05%"
"Aug 31, 2020","11.06","11.10","11.10","11.04","4.92K","-0.85%"
"Aug 28, 2020","11.16","11.09","11.17","11.07","11.01K","0.22%"
"Aug 27, 2020","11.13","11.17","11.20","11.13","3.17K","-0.24%"
"Aug 26, 2020","11.16","11.15","11.17","11.13","24.21K","0.47%"
"Aug 25, 2020","11.11","11.19","11.19","11.11","22.47K","-0.88%"
"Aug 24, 2020","11.21","11.19","11.23","11.17","2.82K","-0.09%"
"Aug 21, 2020","11.22","11.16","11.25","11.16","6.84K","0.50%"
"Aug 20, 2020","11.16","11.15","11.24","11.15","26.93K","0.21%"
"Aug 19, 2020","11.14","11.12","11.16","11.11","2.97K","0.07%"
"Aug 18, 2020","11.13","11.17","11.17","11.11","18.77K","0.05%"
"Aug 17, 2020","11.12","11.06","11.14","11.06","17.60K","0.11%"
"Aug 14, 2020","11.11","11.09","11.13","11.09","14.11K","0.44%"
"Aug 13, 2020","11.06","11.11","11.12","11.06","4.55K","-0.32%"
"Aug 12, 2020","11.10","11.18","11.19","11.08","5.86K","-0.92%"
"Aug 11, 2020","11.20","11.26","11.29","11.19","7.79K","-0.89%"
"Aug 10, 2020","11.30","11.29","11.32","11.25","4.80K","0.29%"
"Aug 07, 2020","11.27","11.25","11.33","11.24","48.59K","-0.05%"
"Aug 06, 2020","11.27","11.24","11.28","11.22","5.54K","0.56%"
"Aug 05, 2020","11.21","11.27","11.28","11.21","17.49K","-0.78%"
"Aug 04, 2020","11.30","11.26","11.32","11.25","6.18K","0.20%"
"Aug 03, 2020","11.28","11.32","11.33","11.28","16.23K","0.00%"
"Jul 31, 2020","11.27","11.34","11.36","11.27","9.91K","-0.76%"
"Jul 30, 2020","11.36","11.38","11.41","11.35","29.91K","-0.09%"
"Jul 29, 2020","11.37","11.41","11.42","11.37","11.86K","-0.37%"
"Jul 28, 2020","11.41","11.35","11.41","11.35","21.86K","0.45%"
"Jul 27, 2020","11.36","11.39","11.40","11.35","10.75K","-0.46%"
"Jul 24, 2020","11.41","11.38","11.44","11.38","16.28K","0.79%"
"Jul 23, 2020","11.32","11.33","11.36","11.29","12.40K","0.00%"
"Jul 22, 2020","11.32","11.39","11.42","11.30","14.62K","-1.08%"
"Jul 21, 2020","11.45","11.43","11.48","11.41","11.01K","0.18%"
"Jul 20, 2020","11.43","11.43","11.46","11.41","11.75K","-0.33%"
"Jul 17, 2020","11.47","11.50","11.52","11.45","53.52K","0.07%"
"Jul 16, 2020","11.46","11.50","11.51","11.46","7.17K","-0.19%"
"Jul 15, 2020","11.48","11.46","11.49","11.45","15.14K","0.06%"
"Jul 14, 2020","11.47","11.51","11.54","11.46","36.11K","-0.23%"
"Jul 13, 2020","11.50","11.58","11.60","11.50","14.99K","-1.06%"
"Jul 10, 2020","11.62","11.68","11.69","11.62","9.50K","0.25%"
"Jul 09, 2020","11.59","11.53","11.59","11.53","13.48K","0.59%"
"Jul 08, 2020","11.53","11.58","11.59","11.53","13.33K","0.04%"
"Jul 07, 2020","11.52","11.55","11.56","11.51","6.92K","0.11%"
"Jul 06, 2020","11.51","11.52","11.54","11.49","8.82K","-0.64%"
"Jul 03, 2020","11.58","11.61","11.62","11.58","19.05K","0.06%"
"Jul 02, 2020","11.58","11.56","11.58","11.50","17.15K","0.09%"
"Jul 01, 2020","11.57","11.63","11.64","11.56","19.81K","-0.07%"
"Jun 30, 2020","11.57","11.64","11.64","11.56","24.61K","-0.20%"
"Jun 29, 2020","11.60","11.66","11.66","11.57","46.95K","-0.96%"
"Jun 26, 2020","11.71","11.72","11.73","11.69","23.20K","0.15%"
"Jun 25, 2020","11.69","11.67","11.71","11.66","30.46K","0.28%"
"Jun 24, 2020","11.66","11.65","11.68","11.64","55.47K","0.00%"
"Jun 23, 2020","11.66","11.65","11.68","11.59","16.81K","-0.35%"
"Jun 22, 2020","11.70","11.75","11.75","11.69","31.85K","-0.41%"
"Jun 19, 2020","11.75","11.73","11.75","11.70","40.90K","0.18%"
"Jun 18, 2020","11.73","11.70","11.74","11.66","87.58K","0.43%"
"Jun 17, 2020","11.68","11.63","11.69","11.60","42.96K","0.41%"
"Jun 16, 2020","11.63","11.56","11.66","11.54","37.86K","0.00%"
"Jun 15, 2020","11.63","11.71","11.71","11.63","38.68K","-0.33%"
"Jun 12, 2020","11.67","11.65","11.69","11.57","51.91K","0.51%"
"Jun 11, 2020","11.61","11.60","11.63","11.57","21.30K","0.33%"
"Jun 10, 2020","11.57","11.55","11.57","11.51","15.12K","0.54%"
"Jun 09, 2020","11.51","11.53","11.60","11.50","34.66K","0.70%"
"Jun 08, 2020","11.43","11.35","11.44","11.30","11.72K","1.29%"
"Jun 05, 2020","11.28","11.30","11.35","11.27","21.58K","-0.76%"
"Jun 04, 2020","11.37","11.49","11.53","11.34","38.83K","-1.04%"
"Jun 03, 2020","11.49","11.57","11.60","11.49","63.85K","-1.04%"
"Jun 02, 2020","11.61","11.74","11.77","11.58","44.19K","-1.25%"
"May 29, 2020","11.76","11.85","11.87","11.76","26.92K","-0.98%"
"May 28, 2020","11.87","11.88","11.92","11.87","86.91K","-0.56%"
"May 27, 2020","11.94","11.98","11.99","11.89","13.94K","0.00%"
"May 26, 2020","11.95","11.98","12.00","11.94","114.18K","-0.57%"
"May 25, 2020","12.01","12.05","12.06","12.00","14.43K","-0.53%"
"May 22, 2020","12.08","12.05","12.09","12.04","23.33K","0.75%"
"May 21, 2020","11.99","11.96","12.00","11.93","34.97K","0.16%"
"May 20, 2020","11.97","11.97","12.00","11.95","12.10K","0.06%"
"May 19, 2020","11.96","12.00","12.04","11.94","47.46K","-1.07%"
"May 18, 2020","12.09","12.18","12.21","12.07","39.73K","-0.82%"
"May 15, 2020","12.19","12.19","12.24","12.15","27.25K","-0.30%"
"May 14, 2020","12.23","12.25","12.27","12.21","24.78K","0.28%"
"May 13, 2020","12.19","12.18","12.20","12.14","6.72K","0.66%"
"May 12, 2020","12.11","12.12","12.15","12.08","24.81K","-0.06%"
"May 11, 2020","12.12","12.18","12.18","12.12","9.84K","-0.81%"
"May 08, 2020","12.22","12.27","12.29","12.22","4.01K","-0.68%"
"May 07, 2020","12.30","12.33","12.35","12.27","17.90K","-0.27%"
"May 06, 2020","12.34","12.30","12.36","12.30","6.18K","0.64%"
"May 05, 2020","12.26","12.19","12.29","12.19","16.06K","0.85%"
"May 04, 2020","12.15","12.15","12.19","12.11","22.46K","0.30%"
"Apr 30, 2020","12.12","12.23","12.36","12.11","12.14K","-1.28%"
"Apr 29, 2020","12.27","12.28","12.36","12.26","164.92K","0.18%"
"Apr 28, 2020","12.25","12.25","12.28","12.19","59.96K","0.32%"
"Apr 27, 2020","12.21","12.24","12.26","12.18","24.52K","-0.28%"
"Apr 24, 2020","12.25","12.27","12.29","12.19","14.07K","0.69%"
"Apr 23, 2020","12.16","12.15","12.29","12.15","34.53K","0.42%"
"Apr 22, 2020","12.11","12.13","12.14","12.08","29.34K","0.25%"
"Apr 21, 2020","12.08","12.12","12.15","12.08","10.30K","0.43%"
"Apr 20, 2020","12.03","12.01","12.08","12.01","41.18K","0.04%"
"Apr 17, 2020","12.03","12.09","12.10","12.03","43.99K","-0.78%"
"Apr 16, 2020","12.12","12.03","12.14","12.03","49.39K","0.61%"
"Apr 15, 2020","12.05","12.05","12.11","12.00","13.92K","0.22%"
"Apr 14, 2020","12.02","12.02","12.03","11.97","17.98K","0.67%"
"Apr 09, 2020","11.94","11.96","12.12","11.89","758.86K","-0.18%"
"Apr 08, 2020","11.96","12.00","12.00","11.88","21.91K","0.49%"
"Apr 07, 2020","11.90","11.99","11.99","11.85","32.23K","-0.78%"
"Apr 06, 2020","12.00","12.08","12.08","11.96","30.26K","-0.94%"
"Apr 03, 2020","12.11","12.19","12.19","12.06","63.45K","0.05%"
"Apr 02, 2020","12.11","12.07","12.20","12.07","3.70K","0.37%"
"Apr 01, 2020","12.06","11.97","12.06","11.96","5.34K","0.96%"
"Mar 31, 2020","11.95","11.86","12.00","11.82","5.45K","0.52%"
"Mar 30, 2020","11.88","11.87","11.92","11.81","0.72K","0.45%"
"Mar 27, 2020","11.83","11.78","11.94","11.62","8.81K","1.10%"
"Mar 26, 2020","11.70","11.78","11.87","11.70","26.81K","0.30%"
"Mar 25, 2020","11.67","11.58","11.80","11.58","1.33K","-0.32%"
"Mar 24, 2020","11.70","11.94","11.94","11.59","3.44K","-1.03%"
"Mar 23, 2020","11.83","12.00","12.09","11.71","17.25K","-0.66%"
"Mar 20, 2020","11.91","11.90","12.00","11.86","18.35K","0.32%"
"Mar 19, 2020","11.87","11.86","11.95","11.73","3.17K","-0.77%"
"Mar 18, 2020","11.96","11.96","12.16","11.82","31.49K","0.08%"
"Mar 17, 2020","11.95","11.81","12.12","11.81","28.68K","1.36%"
"Mar 16, 2020","11.79","11.86","11.93","11.74","19.96K","0.51%"
"Mar 13, 2020","11.73","11.99","12.01","11.58","21.14K","-2.66%"
"Mar 12, 2020","12.05","12.14","12.25","12.04","14.82K","-0.25%"
"Mar 11, 2020","12.08","12.02","12.08","11.99","0.63K","-0.17%"
"Mar 10, 2020","12.10","12.13","12.15","11.93","64.84K","-1.79%"
"Mar 09, 2020","12.32","12.32","12.41","12.32","70.27K","1.82%"
"Mar 06, 2020","12.10","12.11","12.11","12.06","35.79K","0.58%"
"Mar 05, 2020","12.03","11.99","12.06","11.99","17.06K","-0.08%"
"Mar 04, 2020","12.04","12.00","12.04","11.97","31.52K","-0.33%"
"Mar 03, 2020","12.08","11.97","12.08","11.92","6.18K","1.09%"
"Mar 02, 2020","11.95","12.03","12.04","11.95","25.61K","-1.24%"
"Feb 28, 2020","12.10","12.02","12.19","11.99","30.21K","1.94%"
"Feb 27, 2020","11.87","11.92","11.92","11.86","1.42K","-0.25%"
"Feb 26, 2020","11.90","11.93","11.93","11.86","0.71K","-0.50%"
"Feb 25, 2020","11.96","11.96","12.04","11.96","23.26K","0.00%"
"Feb 24, 2020","11.96","11.87","11.99","11.86","2.10K","1.36%"
"Feb 21, 2020","11.80","11.86","11.86","11.80","1.52K","-0.34%"
"Feb 20, 2020","11.84","11.82","11.84","11.77","29.96K","-0.50%"
"Feb 19, 2020","11.90","12.02","12.02","11.90","8.04K","-1.24%"
"Feb 18, 2020","12.05","12.06","12.09","12.03","91.99K","0.75%"
"Feb 17, 2020","11.96","11.99","12.00","11.96","6.03K","0.00%"
"Feb 14, 2020","11.96","11.95","11.97","11.94","4.25K","0.17%"
"Feb 13, 2020","11.94","11.93","11.98","11.93","7.13K","0.51%"
"Feb 12, 2020","11.88","11.87","11.90","11.87","0.99K","-0.34%"
"Feb 11, 2020","11.92","11.89","11.93","11.89","37.03K","-0.08%"
"Feb 10, 2020","11.93","11.86","11.93","11.86","0.81K","0.85%"
"Feb 07, 2020","11.83","11.83","11.87","11.82","14.83K","0.68%"
"Feb 06, 2020","11.75","11.73","11.80","11.71","38.75K","-0.25%"
"Feb 05, 2020","11.78","11.81","11.81","11.73","7.23K","-0.08%"
"Feb 04, 2020","11.79","11.84","11.84","11.79","2.79K","-0.84%"
"Feb 03, 2020","11.89","11.87","11.92","11.83","3.52K","-0.25%"
"Jan 31, 2020","11.92","11.91","11.92","11.88","3.24K","0.08%"
"Jan 30, 2020","11.91","11.93","11.95","11.91","46.61K","0.08%"
"Jan 29, 2020","11.90","11.89","11.91","11.86","12.45K","0.51%"
"Jan 28, 2020","11.84","11.88","11.92","11.84","18.51K","-0.17%"
"Jan 27, 2020","11.86","11.87","11.91","11.86","23.60K","0.42%"
"Jan 24, 2020","11.81","11.73","11.81","11.73","0.06K","0.17%"
"Jan 23, 2020","11.79","11.70","11.81","11.68","9.78K","1.29%"
"Jan 22, 2020","11.64","11.66","11.68","11.63","9.38K","0.17%"
"Jan 21, 2020","11.62","11.62","11.63","11.58","18.40K","0.35%"
"Jan 20, 2020","11.58","11.59","11.61","11.57","4.06K","-0.09%"
"Jan 17, 2020","11.59","11.53","11.61","11.53","11.25K","0.52%"
"Jan 16, 2020","11.53","11.53","11.55","11.53","7.33K","-0.17%"
"Jan 15, 2020","11.55","11.60","11.61","11.53","18.49K","-0.17%"
"Jan 14, 2020","11.57","11.56","11.57","11.55","0.45K","0.00%"
"Jan 13, 2020","11.57","11.65","11.65","11.57","1.68K","-0.69%"
"Jan 10, 2020","11.65","11.69","11.69","11.65","8.28K","-0.09%"
"Jan 09, 2020","11.66","11.66","11.66","11.66","4.39K","-0.60%"
"Jan 08, 2020","11.73","11.73","11.75","11.72","11.69K","0.09%"
"Jan 07, 2020","11.72","11.72","11.72","11.70","0.99K","-0.09%"
"Jan 06, 2020","11.73","11.79","11.80","11.73","12.66K","-0.59%"
"Jan 03, 2020","11.80","11.84","11.87","11.80","11.92K","0.51%"
"Jan 02, 2020","11.74","11.71","11.74","11.64","9.39K","1.12%"
"Dec 30, 2019","11.61","11.64","11.64","11.59","4.29K","0.26%"
"Dec 27, 2019","11.58","11.62","11.63","11.55","11.95K","-0.69%"
"Dec 23, 2019","11.66","11.70","11.70","11.66","5.69K","-0.17%"
"Dec 20, 2019","11.68","11.64","11.68","11.61","5.72K","0.17%"
"Dec 19, 2019","11.66","11.65","11.68","11.63","9.12K","0.00%"
"Dec 18, 2019","11.66","11.65","11.70","11.65","37.65K","0.34%"
"Dec 17, 2019","11.62","11.65","11.65","11.61","0.77K","0.00%"
"Dec 16, 2019","11.62","11.67","11.68","11.61","10.52K","-0.60%"
"Dec 13, 2019","11.69","11.61","11.69","11.56","0.70K","0.09%"
